MedCodeId	Term	CleansedReadCode	OriginalReadCode
4031011	Old myocardial infarction	G32..00	G32
4032016	Healed myocardial infarction	G32..11	G32-1
7845011	Unstable angina	G311100	G3111
18472010	Acute congestive heart failure	G580000	G5800
32122016	Status anginosus	G33z000	G33z0
36036010	Syncope anginosa	G33z200	G33z2
39773018	Coronary artery spasm	G332.00	G332
206703015	Right heart failure	G580.12	G580-2
208365015	Postoperative myocardial infarction	G38..00	G38
216185010	Peripheral vascular disease monitoring	662U.00	662U
59952018	Nocturnal angina	G330000	G3300
94251011	Acute heart failure	G582.00	G582
94884017	Acute myocardial infarction	G30..00	G30
98087016	Angina decubitus	G330.00	G330
72934016	Rheumatic left ventricular failure	G1yz100	G1yz1
139475013	Heart failure	G58..00	G58
139482012	Cardiac failure	G58..11	G58-1
271087015	Allograft bypass of coronary artery	7922.11	7922-1
271097012	Prosthetic bypass of coronary artery	7923.11	7923-1
271105012	Revision of bypass for coronary artery	7924.00	7924
271106013	Revision of bypass for one coronary artery	7924000	79240
271107016	Revision of bypass for two coronary arteries	7924100	79241
271108014	Revision of bypass for three coronary arteries	7924200	79242
271109018	Revision of bypass for four or more coronary arteries	7924300	79243
271111010	Revision of implantation of thoracic artery into heart	7924500	79245
271114019	Connection of mammary artery to coronary artery	7925.00	7925
271115018	Creation of bypass from mammary artery to coronary artery	7925.11	7925-1
271126012	Single implantation of mammary artery into coronary artery	7925400	79254
271139011	Exploration of coronary artery	7927400	79274
271157012	Diagnostic transluminal operations on coronary artery	792A.00	792A
271166011	Replacement of coronary arteries using multiple methods	792C000	792C0
272117011	Rotary blade angioplasty	7A54500	7A545
272295013	Peroperative angioplasty	7A6G100	7A6G1
141306010	Left ventricular failure	G581.00	G581
104563015	Cerebrovascular disease	G6...00	G6
105536013	Intermittent claudication	G73z000	G73z0
147247018	Chronic congestive heart failure	G580100	G5801
108561012	Aneurysm of heart	G341.00	G341
109916013	Dressler's syndrome	G310.11	G310-1
299708014	Acute anteroapical infarction	G301000	G3010
299712015	True posterior myocardial infarction	G306.00	G306
299719012	Acute atrial infarction	G30y000	G30y0
299742017	Coronary thrombosis not resulting in myocardial infarction	G312.00	G312
299745015	Acute coronary insufficiency	G31y000	G31y0
299757012	Angina pectoris	G33..00	G33
299758019	Stenocardia	G33z100	G33z1
299782012	Single coronary vessel disease	G340000	G3400
299783019	Double coronary vessel disease	G340100	G3401
299788011	Acquired atrioventricular fistula of heart	G341300	G3413
299796018	Ischaemic cardiomyopathy	G343.00	G343
299808017	Subsequent myocardial infarction	G35..00	G35
299811016	Subsequent myocardial infarction of anterior wall	G350.00	G350
299812011	Subsequent myocardial infarction of inferior wall	G351.00	G351
300179017	Decompensated cardiac failure	G580200	G5802
300180019	Compensated cardiac failure	G580300	G5803
300190010	Acute left ventricular failure	G581000	G5810
300276019	External capsule haemorrhage	G616.00	G616
300277011	Intracerebral haemorrhage, intraventricular	G617.00	G617
300312010	Cerebral infarct due to thrombosis of precerebral arteries	G63y000	G63y0
300313017	Cerebral infarction due to embolism of precerebral arteries	G63y100	G63y1
300321011	Cerebral infarction due to thrombosis of cerebral arteries	G640000	G6400
300322016	Cerebral infarction due to embolism of cerebral arteries	G641000	G6410
300344014	Carotid artery syndrome hemispheric	G653.00	G653
300345010	Multiple and bilateral precerebral artery syndromes	G654.00	G654
300352012	Impending cerebral ischaemia	G65z000	G65z0
300353019	Intermittent cerebral ischaemia	G65z100	G65z1
300362017	Middle cerebral artery syndrome	G660.00	G660
300363010	Anterior cerebral artery syndrome	G661.00	G661
300364016	Posterior cerebral artery syndrome	G662.00	G662
300366019	Cerebellar stroke syndrome	G664.00	G664
300370010	Left sided CVA	G667.00	G667
300371014	Right sided CVA	G668.00	G668
316833010	Congenital cardiac failure	Q48y100	Q48y1
116992017	Acute subendocardial infarction	G307.00	G307
118689010	Cerebral thrombosis	G640.00	G640
338974012	Ischaemic chest pain	G33z400	G33z4
348644016	Coronary artery bypass graft operations	792..11	792-1
350346019	Triple vessel disease of the heart	G340.11	G340-1
350348018	Stable angina	G33z700	G33z7
350350014	New onset angina	G33z600	G33z6
350354017	Silent myocardial ischaemia	G344.00	G344
350376014	Silent myocardial infarction	G30..17	G30-7
350379019	Cardiac syndrome X	G37..00	G37
251679016	H/O: angina pectoris	14A5.00	14A5
394286010	Double anastomosis of mammary arteries to coronary arteries	7925000	79250
395783012	Transient ischaemic attack	G65..12	G65-2
395788015	Transient cerebral ischaemia	G65..00	G65
411159010	LIMA single anastomosis	7925311	79253-1
411160017	RIMA single anastomosis	7925312	79253-2
411212010	LIMA sequential anastomosis	7925011	79250-1
411213017	RIMA sequential anastomosis	7925012	79250-2
411503014	Mural cardiac aneurysm	G341111	G3411-1
411506018	Impaired left ventricular function	G581.13	G581-3
412678013	Neonatal cardiac failure	Q490.00	Q490
442204010	Angina on effort	G33z300	G33z3
447324018	Acute Q-wave infarct	G309.00	G309
450322013	Acute non-Q wave infarction	G307000	G3070
451123015	Cerebral palsy, not congenital or infantile, acute	G669.00	G669
451133011	Left sided cerebral infarction	G64z200	G64z2
451134017	Right sided cerebral infarction	G64z300	G64z3
451369010	H/O: Myocardial infarction in last year	14AH.00	14AH
451370011	H/O: Angina in last year	14AJ.00	14AJ
455422014	Postoperative subendocardial myocardial infarction	G384.00	G384
456362017	Prosthetic graft patch angioplasty	7A6H300	7A6H3
456363010	Percutaneous transluminal angioplasty of vascular graft	7A6H400	7A6H4
458410010	Post infarct angina	G33z500	G33z5
459487012	Refractory angina	G311300	G3113
459488019	Transient myocardial ischaemia	G31y300	G31y3
459859010	Asymptomatic coronary heart disease	G34z000	G34z0
484402013	Percutaneous transluminal laser coronary angioplasty	7929000	79290
490972013	Right ventricular failure	G580.13	G580-3
494260016	Impending infarction	G311.12	G311-2
494261017	Worsening angina	G311400	G3114
494438016	Subendocardial ischaemia	G31y200	G31y2
495394013	Cortical haemorrhage	G610.00	G610
