MedCodeId	Term	CleansedReadCode	OriginalReadCode
19006012	Thoracic spondylosis with myelopathy	N113.00	N113
108431018	Cervical spondylosis with myelopathy	N111.00	N111
297150011	Myelopathy due to spondylosis	F163200	F1632
297465015	Nerve root and plexus compressions in spondylosis	F337200	F3372
309876015	Secondary multiple arthrosis	N050500	N0505
309877012	Erosive osteoarthrosis	N050600	N0506
309878019	Heberden's nodes with arthropathy	N050700	N0507
309881012	Localised, primary osteoarthritis	N051.00	N051
309885015	Localised, primary osteoarthritis of the shoulder region	N051100	N0511
309892013	Localised, primary osteoarthritis of the hand	N051400	N0514
309898012	Localised, primary osteoarthritis of the ankle and foot	N051700	N0517
309901013	Primary coxarthrosis, bilateral	N051900	N0519
309902018	Coxarthrosis resulting from dysplasia, bilateral	N051A00	N051A
309903011	Primary gonarthrosis, bilateral	N051B00	N051B
309904017	Primary arthrosis of first carpometacarpal joints, bilateral	N051C00	N051C
309914014	Localised, secondary osteoarthritis	N052.00	N052
309918012	Localised, secondary osteoarthritis of the shoulder region	N052100	N0521
309923012	Localised, secondary osteoarthritis of the hand	N052400	N0524
309933016	Localised, secondary osteoarthritis of the ankle and foot	N052700	N0527
309936012	Post-traumatic coxarthrosis, bilateral	N052900	N0529
309937015	Post-traumatic gonarthrosis, bilateral	N052A00	N052A
311055019	Single-level cervical spondylosis without myelopathy	N110000	N1100
311056018	Two-level cervical spondylosis without myelopathy	N110100	N1101
311057010	Multiple-level cervical spondylosis without myelopathy	N110200	N1102
311061016	Single-level cervical spondylosis with myelopathy	N111000	N1110
311062011	Two-level cervical spondylosis with myelopathy	N111100	N1111
311063018	Multiple-level cervical spondylosis with myelopathy	N111200	N1112
311068010	Single-level thoracic spondylosis without myelopathy	N112000	N1120
311069019	Two-level thoracic spondylosis without myelopathy	N112100	N1121
311070018	Multiple-level thoracic spondylosis without myelopathy	N112200	N1122
311072014	Single-level thoracic spondylosis with myelopathy	N113000	N1130
311074010	Multiple-level thoracic spondylosis with myelopathy	N113200	N1132
311079017	Single-level lumbosacral spondylosis without myelopathy	N114000	N1140
311080019	Two-level lumbosacral spondylosis without myelopathy	N114100	N1141
311081015	Multiple-level lumbosacral spondylosis without myelopathy	N114200	N1142
311082010	Lumbosacral spondylosis with myelopathy	N115.00	N115
311083017	Single-level lumbosacral spondylosis with myelopathy	N115000	N1150
311084011	Two-level lumbosacral spondylosis with myelopathy	N115100	N1151
311085012	Multiple-level lumbosacral spondylosis with myelopathy	N115200	N1152
311091014	Cervical spondylosis with radiculopathy	N119.00	N119
311093012	Single-level cervical spondylosis with radiculopathy	N119000	N1190
311094018	Two-level cervical spondylosis with radiculopathy	N119100	N1191
311095017	Multiple-level cervical spondylosis with radiculopathy	N119200	N1192
311096016	Cervical spondylosis with vascular compression	N11A.00	N11A
