ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
145841000033113	319940007	Bezafibrate 200mg tablets	Bezafibrate 200mg tablets	Tablet	Oral	Bezafibrate	200.000mg	2120000	NA
144941000033118	130711000001102	Bezalip 200mg tablets (Teva UK Ltd)	Bezalip 200mg tablets	Tablet	Oral	Bezafibrate	200.000mg	2120000	NA
2055241000033119	68411000001107	Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd)	Liparol 400 XL tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg		NA
145041000033118	349711000001104	Bezalip Mono 400mg modified-release tablets (Teva UK Ltd)	Bezalip Mono 400mg modified-release tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg	2120000	NA
2192041000033117	880511000001105	Zimbacol XL 400mg tablets (Archimedes Pharma UK Ltd)	Zimbacol XL 400mg tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg	2120000	NA
1578041000033115	888111000001104	Bezagen XL 400mg tablets (Mylan)	Bezagen XL 400mg tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg		NA
6453641000033112	7531411000001106	Fibrazate XL 400mg tablets (Sandoz Ltd)	Fibrazate XL 400mg tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg		NA
145941000033117	319941006	Bezafibrate 400mg modified-release tablets	Bezafibrate 400mg modified-release tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg	2120000	NA
851541000033119	389111000001109	Lopid 600mg tablets (Pfizer Ltd)	Lopid 600mg tablets	Tablet	Oral	Gemfibrozil	600.000mg	2120000	NA
634541000033110	319964008	Gemfibrozil 600mg tablets	Gemfibrozil 600mg tablets	Tablet	Oral	Gemfibrozil	600.000mg	2120000	NA
627841000033118	319966005	Gemfibrozil 300mg capsules	Gemfibrozil 300mg capsules	Capsule	Oral	Gemfibrozil	300.000mg	2120000	NA
838941000033115	383511000001102	Lopid 300mg capsules (Pfizer Ltd)	Lopid 300mg capsules	Capsule	Oral	Gemfibrozil	300.000mg	2120000	NA
3188941000033114	319988005	Fenofibrate micronised 200mg capsules	Fenofibrate micronised 200mg capsules	Capsule	Oral	Fenofibrate micronised	200.000mg	2120000	NA
1862741000033111	2952311000001100	Lipantil Micro 200 capsules (Mylan)	Lipantil Micro 200 capsules	Capsule	Oral	Fenofibrate micronised	200.000mg	2120000	NA
836941000033116	2957011000001101	Lipantil Micro 67 capsules (Mylan)	Lipantil Micro 67 capsules	Capsule	Oral	Fenofibrate micronised	67.000mg	2120000	NA
564641000033113	319990006	Fenofibrate micronised 67mg capsules	Fenofibrate micronised 67mg capsules	Capsule	Oral	Fenofibrate micronised	67.000mg	2120000	NA
1862541000033115	319992003	Fenofibrate micronised 267mg capsules	Fenofibrate micronised 267mg capsules	Capsule	Oral	Fenofibrate micronised	267.000mg	2120000	NA
1862641000033119	2957911000001102	Lipantil Micro 267 capsules (Mylan)	Lipantil Micro 267 capsules	Capsule	Oral	Fenofibrate micronised	267.000mg	2120000	NA
2214841000033115	2950911000001103	Supralip 160mg tablets (Mylan)	Supralip 160mg tablets	Tablet	Oral	Fenofibrate micronised	160.000mg	2120000	NA
2214741000033113	319994002	Fenofibrate micronised 160mg tablets	Fenofibrate micronised 160mg tablets	Tablet	Oral	Fenofibrate micronised	160.000mg	2120000	NA
258541000033118	320018007	Ciprofibrate 100mg tablets	Ciprofibrate 100mg tablets	Tablet	Oral	Ciprofibrate	100.000mg	2120000	NA
936941000033113	16207911000001106	Modalim 100mg tablets (Lexon (UK) Ltd)	Modalim 100mg tablets	Tablet	Oral	Ciprofibrate	100.000mg		NA
1183741000033110	235411000001103	Rommix 250 EC tablets (Ashbourne Pharmaceuticals Ltd)	Rommix 250 EC tablets	Gastro-resistant tablet	Oral	Erythromycin	250.000mg	5010500	NA
1924941000033118	324178009	Erythromycin 250mg gastro-resistant tablets	Erythromycin 250mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Erythromycin	250.000mg	5010500	NA
538841000033112	324179001	Erythromycin ethyl succinate 500mg tablets	Erythromycin ethyl succinate 500mg tablets	Tablet	Oral	Erythromycin ethyl succinate	500.000mg	5010500	NA
540141000033115	580811000001109	Erythroped A 500mg tablets (Advanz Pharma)	Erythroped A 500mg tablets	Tablet	Oral	Erythromycin ethyl succinate	500.000mg	13060200	NA
539541000033115	274611000001103	Erythrocin 250 tablets (Advanz Pharma)	Erythrocin 250 tablets	Tablet	Oral	Erythromycin stearate	250.000mg	13060200	NA
536941000033117	324180003	Erythromycin stearate 250mg tablets	Erythromycin stearate 250mg tablets	Tablet	Oral	Erythromycin stearate	250.000mg	5010500	NA
536841000033113	324181004	Erythromycin stearate 500mg tablets	Erythromycin stearate 500mg tablets	Tablet	Oral	Erythromycin stearate	500.000mg	5010500	NA
539641000033119	30611000001101	Erythrocin 500 tablets (Advanz Pharma)	Erythrocin 500 tablets	Tablet	Oral	Erythromycin stearate	500.000mg	13060200	NA
537341000033119	108811000001104	Erythroped SF 250mg/5ml oral suspension (Advanz Pharma)	Erythroped SF 250mg/5ml oral suspension	Oral suspension	Oral	Erythromycin ethyl succinate	50.000mg/1.000ml	5010500	NA
537541000033114	324192003	Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free	Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free	Oral suspension	Oral	Erythromycin ethyl succinate	50.000mg/1.000ml	5010500	NA
537941000033115	324203007	Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free	Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free	Oral suspension	Oral	Erythromycin ethyl succinate	100.000mg/1.000ml	5010500	NA
537241000033112	178911000001100	Erythroped Forte SF 500mg/5ml oral suspension (Advanz Pharma)	Erythroped Forte SF 500mg/5ml oral suspension	Oral suspension	Oral	Erythromycin ethyl succinate	100.000mg/1.000ml	5010500	NA
535241000033119	4693611000001103	Erythrocin IV lactobionate 1g powder for solution for infusion vials (Advanz Pharma)	Erythrocin IV lactobionate 1g powder for solution for infusion vials	 Powder for solution for infusion	Intravenous	Erythromycin lactobionate	1.000gram		NA
535441000033118	324215006	Erythromycin 1g powder for solution for infusion vials	Erythromycin 1g powder for solution for infusion vials	 Powder for solution for infusion	Intravenous	Erythromycin lactobionate	1.000gram	5010500	NA
537641000033110	324232005	Erythromycin ethyl succinate 125mg/5ml oral suspension	Erythromycin ethyl succinate 125mg/5ml oral suspension	Oral suspension	Oral	Erythromycin ethyl succinate	25.000mg/1.000ml	5010500	NA
537741000033118	324233000	Erythromycin ethyl succinate 250mg/5ml oral suspension	Erythromycin ethyl succinate 250mg/5ml oral suspension	Oral suspension	Oral	Erythromycin ethyl succinate	50.000mg/1.000ml	5010500	NA
537841000033111	324234006	Erythromycin ethyl succinate 500mg/5ml oral suspension	Erythromycin ethyl succinate 500mg/5ml oral suspension	Oral suspension	Oral	Erythromycin ethyl succinate	100.000mg/1.000ml	5010500	NA
287441000033111	324238009	Clarithromycin 250mg tablets	Clarithromycin 250mg tablets	Tablet	Oral	Clarithromycin	250.000mg	5010500	NA
805741000033118	220811000001105	Klaricid 250mg tablets (Abbott Laboratories Ltd)	Klaricid 250mg tablets	Tablet	Oral	Clarithromycin	250.000mg	5010500	NA
804841000033112	27011000001106	Klaricid IV 500mg powder for solution for infusion vials (Mylan)	Klaricid IV 500mg powder for solution for infusion vials	 Powder for solution for infusion	Intravenous	Clarithromycin	500.000mg	5010500	NA
274641000033111	324242007	Clarithromycin 500mg powder for solution for infusion vials	Clarithromycin 500mg powder for solution for infusion vials	 Powder for solution for infusion	Intravenous	Clarithromycin	500.000mg	5010500	NA
285341000033110	324244008	Clarithromycin 500mg tablets	Clarithromycin 500mg tablets	Tablet	Oral	Clarithromycin	500.000mg	5010500	NA
805441000033113	463111000001102	Klaricid 500 tablets (Abbott Laboratories Ltd)	Klaricid 500 tablets	Tablet	Oral	Clarithromycin	500.000mg	1030500	NA
805341000033119	3253811000001107	Klaricid Adult 250mg granules sachets (Mylan)	Klaricid Adult 250mg granules sachets	Granules	Oral	Clarithromycin	250.000mg	5010500	NA
282141000033118	324248006	Clarithromycin 250mg granules sachets	Clarithromycin 250mg granules sachets	Granules	Oral	Clarithromycin	250.000mg	5010500	NA
1830541000033112	324250003	Clarithromycin 250mg/5ml oral suspension	Clarithromycin 250mg/5ml oral suspension	Oral suspension	Oral	Clarithromycin	50.000mg/1.000ml	5010500	NA
1830641000033113	211000001101	Klaricid Paediatric 250mg/5ml oral suspension (Mylan)	Klaricid Paediatric 250mg/5ml oral suspension	Oral suspension	Oral	Clarithromycin	50.000mg/1.000ml	5010500	NA
1364841000033111	324316009	Sodium fusidate 250mg tablets	Sodium fusidate 250mg tablets	Tablet	Oral	Sodium fusidate	250.000mg	5010700	NA
618941000033118	3670711000001108	Fucidin 250mg tablets (LEO Pharma)	Fucidin 250mg tablets	Tablet	Oral	Sodium fusidate	250.000mg	5010700	NA
910941000033115	324682007	Miconazole 20mg/g oromucosal gel sugar free	Miconazole 20mg/g oromucosal gel sugar free	Oromucosal gel	Oral/ Oromucosal	Miconazole	20.000mg/1.000gram	5020000	NA
403841000033117	14718011000001108	Daktarin 20mg/g oromucosal gel (Janssen-Cilag Ltd)	Daktarin 20mg/g oromucosal gel	Oromucosal gel	Oral/ Oromucosal	Miconazole	20.000mg/1.000gram	12030200	NA
579441000033119	324697005	Fluconazole 50mg capsules	Fluconazole 50mg capsules	Capsule	Oral	Fluconazole	50.000mg	5020100	NA
438041000033111	165411000001105	Diflucan 50mg capsules (Pfizer Ltd)	Diflucan 50mg capsules	Capsule	Oral	Fluconazole	50.000mg	5020100	NA
2616941000033115	230911000001102	Diflucan One 150mg capsules (McNeil Products Ltd)	Diflucan One 150mg capsules	Capsule	Oral	Fluconazole	150.000mg	5020000	NA
437941000033113	696511000001104	Diflucan 150mg capsules (Pfizer Ltd)	Diflucan 150mg capsules	Capsule	Oral	Fluconazole	150.000mg	5020100	NA
579341000033113	324698000	Fluconazole 150mg capsules	Fluconazole 150mg capsules	Capsule	Oral	Fluconazole	150.000mg	5020100	NA
579641000033117	324702001	Fluconazole 200mg capsules	Fluconazole 200mg capsules	Capsule	Oral	Fluconazole	200.000mg	5020100	NA
439241000033111	787611000001105	Diflucan 200mg capsules (Pfizer Ltd)	Diflucan 200mg capsules	Capsule	Oral	Fluconazole	200.000mg	5020100	NA
455641000033111	705211000001101	Diflucan 50mg/5ml oral suspension (Pfizer Ltd)	Diflucan 50mg/5ml oral suspension	Oral suspension	Oral	Fluconazole	10.000mg/1.000ml	5020100	NA
590141000033114	324709005	Fluconazole 50mg/5ml oral suspension	Fluconazole 50mg/5ml oral suspension	Oral suspension	Oral	Fluconazole	10.000mg/1.000ml	5020100	NA
590041000033110	324710000	Fluconazole 200mg/5ml oral suspension	Fluconazole 200mg/5ml oral suspension	Oral suspension	Oral	Fluconazole	40.000mg/1.000ml	5020100	NA
455541000033110	542711000001108	Diflucan 200mg/5ml oral suspension (Pfizer Ltd)	Diflucan 200mg/5ml oral suspension	Oral suspension	Oral	Fluconazole	40.000mg/1.000ml	5020100	NA
656341000033114	19200811000001108	Gyno-Daktarin 2% vaginal cream (Janssen-Cilag Ltd)	Gyno-Daktarin 2% vaginal cream	Cream	Vaginal	Miconazole nitrate	20.000mg/1.000gram	7020200	NA
912541000033113	326251002	Miconazole 2% vaginal cream	Miconazole 2% vaginal cream	Cream	Vaginal	Miconazole nitrate	20.000mg/1.000gram	7020200	NA
916641000033113	326252009	Miconazole 100mg pessaries	Miconazole 100mg pessaries	Pessary	Vaginal	Miconazole nitrate	100.000mg		NA
657241000033118	3358511000001106	Gyno-Daktarin 100mg pessaries (Janssen-Cilag Ltd)	Gyno-Daktarin 100mg pessaries	Pessary	Vaginal	Miconazole nitrate	100.000mg		NA
6390741000033112	19377311000001100	Capsorin 25mg capsules (Morningside Healthcare Ltd)	Capsorin 25mg capsules	Capsule	Oral	Ciclosporin	25.000mg	8020200	NA
9956641000033112	28335911000001108	Vanquoral 25mg capsules (Teva UK Ltd)	Vanquoral 25mg capsules	Capsule	Oral	Ciclosporin	25.000mg		NA
3087041000033118	327082002	Ciclosporin 25mg capsules	Ciclosporin 25mg capsules	Capsule	Oral	Ciclosporin	25.000mg	10010300	NA
958441000033115	660811000001100	Neoral 25mg capsules (Novartis Pharmaceuticals UK Ltd)	Neoral 25mg capsules	Capsule	Oral	Ciclosporin	25.000mg	10010300/ 13050300	NA
