MedCodeId	Term	CleansedReadCode	OriginalReadCode
1409014	Benign hypertensive renal disease	G221.00	G221
4074014	Renal tubular acidosis	K08y400	K08y4
28321015	Renal osteodystrophy	K080.00	K080
28322010	Renal rickets	K080300	K0803
30043012	Mechanical complication of dialysis catheter	SP01500	SP015
32619017	Acute glomerulonephritis	K00..00	K00
35171019	Chronic glomerulonephritis	K02..00	K02
39884018	Calculous pyelonephritis	K100600	K1006
205225016	Diabetic nephropathy	C104.11	C104-1
91216016	Hypokalaemic nephropathy	K08y000	K08y0
47940012	Acute interstitial nephritis	K08y500	K08y5
61206018	Acute pyelonephritis	K101.00	K101
61575019	Renal dwarfism	K080100	K0801
64282015	Hypertensive renal disease	G22..00	G22
65241012	Xanthogranulomatous pyelonephritis	K104.00	K104
98667016	Analgesic nephropathy	K0C0.00	K0C0
81307015	Congenital nephrotic syndrome	K01w.00	K01w
86957016	Nephrotic syndrome	K01..00	K01
272320011	Allotransplantation of kidney from live donor	7B00111	7B001-1
272389014	Exploration of renal transplant	7B06300	7B063
102173012	Acute nephritis	K00..11	K00-1
143003017	Hypertensive heart AND renal disease	G23..00	G23
105227013	Chronic pyelonephritis	K100.00	K100
108231015	Tuberculous pyelonephritis	A160200	A1602
108730018	Malignant hypertensive renal disease	G220.00	G220
109700019	Benign hypertensive heart AND renal disease	G231.00	G231
278844014	Insertion of temporary peritoneal dialysis catheter	7L1C000	7L1C0
284213011	Renal transplant planned	8L50.00	8L50
286285014	Tuberculous nephropathy	A160000	A1600
287143014	Plasmodium malariae malaria with nephropathy	A844100	A8441
293394013	Gouty nephropathy	C341.00	C341
110659019	Malignant hypertensive heart AND renal disease	G230.00	G230
299673010	Hypertensive heart and renal disease with renal failure	G233.00	G233
299885017	Acute pericarditis - uraemic	G500400	G5004
303806010	Nephritis, nephrosis and nephrotic syndrome	K0...00	K0
303812017	Acute proliferative glomerulonephritis	K000.00	K000
303814016	Acute nephritis with lesions of necrotising glomerulitis	K001.00	K001
303816019	Acute glomerulonephritis in diseases EC	K00y000	K00y0
303817011	Acute exudative nephritis	K00y100	K00y1
303818018	Acute focal nephritis	K00y200	K00y2
303819014	Acute diffuse nephritis	K00y300	K00y3
303825013	Nephrotic syndrome with proliferative glomerulonephritis	K010.00	K010
303826014	Nephrotic syndrome with membranous glomerulonephritis	K011.00	K011
303832016	Nephrotic syndrome, minor glomerular abnormality	K014.00	K014
303833014	Nephrotic syndrome, focal and segmental glomerular lesions	K015.00	K015
303834015	Nephrotic syndrome, diffuse membranous glomerulonephritis	K016.00	K016
303838017	Nephrotic syndrome, dense deposit disease	K01A.00	K01A
303839013	Nephrotic syndrome, diffuse crescentic glomerulonephritis	K01B.00	K01B
303845017	Nephrotic syndrome in amyloidosis	K01x000	K01x0
303846016	Nephrotic syndrome in diabetes mellitus	K01x100	K01x1
303849011	Nephrotic syndrome in polyarteritis nodosa	K01x300	K01x3
303867016	Chronic focal glomerulonephritis	K02y200	K02y2
303868014	Chronic diffuse glomerulonephritis	K02y300	K02y3
303877019	Focal membranoproliferative glomerulonephritis	K032000	K0320
303881019	Anaphylactoid glomerulonephritis	K032300	K0323
303884010	Berger's IgA or IgG nephropathy	K032600	K0326
303943013	Impaired renal function disorder	K08..00	K08
303944019	Phosphate-losing tubular disorders	K080000	K0800
303951011	Renal function impairment with growth failure	K08y300	K08y3
303977015	Rapidly progressive nephritic syndrome	K0A1.00	K0A1
304004016	Chronic nephritic syndrome	K0A3.00	K0A3
304005015	Chronic nephritic syndrome, minor glomerular abnormality	K0A3000	K0A30
304011017	Chronic nephritic syndrome, dense deposit disease	K0A3600	K0A36
304061014	Chronic pyelonephritis with medullary necrosis	K100100	K1001
304068015	Acute pyelonephritis without medullary necrosis	K101000	K1010
304087014	Pyelonephritis in diseases EC	K10y300	K10y3
114310015	Lupus nephritis	K01x411	K01x4-1
118218017	Peritoneal dialysis	7L1A100	7L1A1
324973015	Kidney transplant failure and rejection	SP08300	SP083
329116017	Failure of sterile precautions during kidney dialysis	TA22000	TA220
354318012	Renal acidaemia	K08yz11	K08yz-1
354330018	Chronic obstructive pyelonephritis	K100500	K1005
354379014	IgA nephropathy	K0A2800	K0A28
354406016	Renal impairment	K060.00	K060
354407013	Impaired renal function	K060.11	K060-1
354409011	Chronic renal impairment	1Z1..00	1Z1
354413016	Acute drug-induced renal failure	K043.00	K043
354514013	Henoch-Schonlein nephritis	D310100	D3101
355552016	Uraemia in pregnancy without hypertension	L162.13	L162-3
357219012	Continuous ambulatory peritoneal dialysis	7L1A500	7L1A5
359372019	Gout due to impairment of renal function	C345.00	C345
251763010	H/O: nephritis	14D1.00	14D1
251956015	H/O: kidney dialysis	14V2.11	14V2-1
251957012	H/O: renal dialysis	14V2.00	14V2
394365013	Transplant nephrectomy	7B01500	7B015
394639018	Compensation for renal failure	7L1A.00	7L1A
394640016	Renal dialysis	7L1A000	7L1A0
396706011	Nephrotic syndrome with minimal change glomerulonephritis	K013.00	K013
400871016	Fibrocystic kidney disease	PD1y000	PD1y0
402249011	Congenital renal failure	Q48y000	Q48y0
403109016	Renal failure as a complication of care	SP15400	SP154
403110014	Kidney failure as a complication of care	SP15411	SP154-1
405116017	Acute renal medullary necrosis	K042.00	K042
411547015	H/O: kidney disease	14D..11	14D-1
422992018	Excision of rejected transplanted kidney	7B01511	7B015-1
454255014	Anaemia secondary to renal failure	D215.00	D215
499033018	Acute nephritic syndrome	K0A0.00	K0A0
501594013	Transplantation of kidney	7B00.00	7B00
505126019	Polycystic kidney disease	PD11.00	PD11
509108014	Chronic uraemia	K05..11	K05-1
509111010	Chronic renal failure	K05..00	K05
1230634013	Nephropathic amyloidosis	C373600	C3736
119846018	Nephrogenic diabetes insipidus	K081.00	K081
2645965011	Stenosis of arteriovenous dialysis fistula	SP07G00	SP07G
2675886019	Creation of graft fistula for dialysis	7A60600	7A606
2692168016	Automated peritoneal dialysis	7L1A400	7L1A4
304031000000117	Chronic kidney disease stage 1	1Z10.00	1Z10
304051000000112	Chronic kidney disease stage 2	1Z11.00	1Z11
