ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
1003941000033118	317291008	Omeprazole 20mg gastro-resistant capsules	Omeprazole 20mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Omeprazole	20.000mg	1030500	NA
841841000033115	923011000001105	Losec 20mg gastro-resistant capsules (AstraZeneca UK Ltd)	Losec 20mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Omeprazole	20.000mg	1030500	NA
3963541000033111	10820111000001100	Mepradec 20mg gastro-resistant capsules (Discovery Pharmaceuticals)	Mepradec 20mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Omeprazole	20.000mg		NA
841141000033114	935511000001100	Losec 40mg gastro-resistant capsules (AstraZeneca UK Ltd)	Losec 40mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Omeprazole	40.000mg	1030500	NA
1004041000033116	317295004	Omeprazole 40mg gastro-resistant capsules	Omeprazole 40mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Omeprazole	40.000mg	1030500	NA
1004141000033117	317297007	Omeprazole 10mg gastro-resistant capsules	Omeprazole 10mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Omeprazole	10.000mg	1030500	NA
841341000033112	64411000001103	Losec 10mg gastro-resistant capsules (AstraZeneca UK Ltd)	Losec 10mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Omeprazole	10.000mg	1030500	NA
3963441000033110	10820511000001104	Mepradec 10mg gastro-resistant capsules (Discovery Pharmaceuticals)	Mepradec 10mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Omeprazole	10.000mg		NA
1558841000033113	217611000001102	Zoton 30mg gastro-resistant capsules (Wyeth Pharmaceuticals)	Zoton 30mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Lansoprazole	30.000mg		NA
808941000033110	317309001	Lansoprazole 30mg gastro-resistant capsules	Lansoprazole 30mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Lansoprazole	30.000mg	1030500	NA
809041000033118	317310006	Lansoprazole 15mg gastro-resistant capsules	Lansoprazole 15mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Lansoprazole	15.000mg	1030500	NA
1558941000033117	29411000001106	Zoton 15mg gastro-resistant capsules (Wyeth Pharmaceuticals)	Zoton 15mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Lansoprazole	15.000mg		NA
1664241000033116	228611000001109	Pariet 10mg gastro-resistant tablets (Eisai Ltd)	Pariet 10mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Rabeprazole sodium	10.000mg	1030500	NA
1671441000033113	317324005	Rabeprazole 10mg gastro-resistant tablets	Rabeprazole 10mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Rabeprazole sodium	10.000mg	1030500	NA
1671541000033114	317325006	Rabeprazole 20mg gastro-resistant tablets	Rabeprazole 20mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Rabeprazole sodium	20.000mg	1030500	NA
1664341000033114	43811000001108	Pariet 20mg gastro-resistant tablets (Eisai Ltd)	Pariet 20mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Rabeprazole sodium	20.000mg	1030500	NA
2177741000033112	240211000001107	Nexium 40mg gastro-resistant tablets (AstraZeneca UK Ltd)	Nexium 40mg gastro-resistant tablets	Gastro-resistant tablet	Oral/ Gastroenteral	Esomeprazole magnesium trihydrate	40.000mg	1030500	NA
2177541000033116	317334001	Esomeprazole 40mg gastro-resistant tablets	Esomeprazole 40mg gastro-resistant tablets	Gastro-resistant tablet	Oral/ Gastroenteral	Esomeprazole magnesium trihydrate	40.000mg	1030500	NA
2177441000033117	317335000	Esomeprazole 20mg gastro-resistant tablets	Esomeprazole 20mg gastro-resistant tablets	Gastro-resistant tablet	Oral/ Gastroenteral	Esomeprazole magnesium trihydrate	20.000mg	1030500	NA
2177641000033115	154111000001106	Nexium 20mg gastro-resistant tablets (AstraZeneca UK Ltd)	Nexium 20mg gastro-resistant tablets	Gastro-resistant tablet	Oral/ Gastroenteral	Esomeprazole magnesium trihydrate	20.000mg	1030500	NA
145841000033113	319940007	Bezafibrate 200mg tablets	Bezafibrate 200mg tablets	Tablet	Oral	Bezafibrate	200.000mg	2120000	NA
144941000033118	130711000001102	Bezalip 200mg tablets (Teva UK Ltd)	Bezalip 200mg tablets	Tablet	Oral	Bezafibrate	200.000mg	2120000	NA
2055241000033119	68411000001107	Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd)	Liparol 400 XL tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg		NA
145041000033118	349711000001104	Bezalip Mono 400mg modified-release tablets (Teva UK Ltd)	Bezalip Mono 400mg modified-release tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg	2120000	NA
2192041000033117	880511000001105	Zimbacol XL 400mg tablets (Archimedes Pharma UK Ltd)	Zimbacol XL 400mg tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg	2120000	NA
1578041000033115	888111000001104	Bezagen XL 400mg tablets (Mylan)	Bezagen XL 400mg tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg		NA
6453641000033112	7531411000001106	Fibrazate XL 400mg tablets (Sandoz Ltd)	Fibrazate XL 400mg tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg		NA
145941000033117	319941006	Bezafibrate 400mg modified-release tablets	Bezafibrate 400mg modified-release tablets	Modified-release tablet	Oral	Bezafibrate	400.000mg	2120000	NA
851541000033119	389111000001109	Lopid 600mg tablets (Pfizer Ltd)	Lopid 600mg tablets	Tablet	Oral	Gemfibrozil	600.000mg	2120000	NA
634541000033110	319964008	Gemfibrozil 600mg tablets	Gemfibrozil 600mg tablets	Tablet	Oral	Gemfibrozil	600.000mg	2120000	NA
627841000033118	319966005	Gemfibrozil 300mg capsules	Gemfibrozil 300mg capsules	Capsule	Oral	Gemfibrozil	300.000mg	2120000	NA
838941000033115	383511000001102	Lopid 300mg capsules (Pfizer Ltd)	Lopid 300mg capsules	Capsule	Oral	Gemfibrozil	300.000mg	2120000	NA
3188941000033114	319988005	Fenofibrate micronised 200mg capsules	Fenofibrate micronised 200mg capsules	Capsule	Oral	Fenofibrate micronised	200.000mg	2120000	NA
1862741000033111	2952311000001100	Lipantil Micro 200 capsules (Mylan)	Lipantil Micro 200 capsules	Capsule	Oral	Fenofibrate micronised	200.000mg	2120000	NA
836941000033116	2957011000001101	Lipantil Micro 67 capsules (Mylan)	Lipantil Micro 67 capsules	Capsule	Oral	Fenofibrate micronised	67.000mg	2120000	NA
564641000033113	319990006	Fenofibrate micronised 67mg capsules	Fenofibrate micronised 67mg capsules	Capsule	Oral	Fenofibrate micronised	67.000mg	2120000	NA
1862541000033115	319992003	Fenofibrate micronised 267mg capsules	Fenofibrate micronised 267mg capsules	Capsule	Oral	Fenofibrate micronised	267.000mg	2120000	NA
1862641000033119	2957911000001102	Lipantil Micro 267 capsules (Mylan)	Lipantil Micro 267 capsules	Capsule	Oral	Fenofibrate micronised	267.000mg	2120000	NA
2214841000033115	2950911000001103	Supralip 160mg tablets (Mylan)	Supralip 160mg tablets	Tablet	Oral	Fenofibrate micronised	160.000mg	2120000	NA
2214741000033113	319994002	Fenofibrate micronised 160mg tablets	Fenofibrate micronised 160mg tablets	Tablet	Oral	Fenofibrate micronised	160.000mg	2120000	NA
