MedCodeId	Term	CleansedReadCode	OriginalReadCode
6839012	Polymyositis ossificans	N231400	N2314
9822014	Spinal muscular atrophy	F151.00	F151
131869012	Removal of foreign body from muscle	7H56700	7H567
133866014	Orbital myositis	F4G1200	F4G12
91494016	Muscle contracture	N238.00	N238
93019012	Interstitial myositis	N23y000	N23y0
49663011	Infective myositis	N230.00	N230
50767015	Purulent myositis	N230.11	N230-1
50768013	Suppurative myositis	N230.12	N230-2
52463013	Polymyositis	N004.00	N004
60313014	Excision of muscle	7H51.00	7H51
63322014	Repair of serratus anterior muscle	7H53300	7H533
95409010	Exploration of muscle	7H56300	7H563
136147016	Myotubular myopathy	F390300	F3903
137233019	Progressive myositis ossificans	N231100	N2311
80869018	Muscle strain	N23yD00	N23yD
275742017	Intrinsic muscle transfer	7H40J00	7H40J
275866015	Extirpation of lesion of muscle	7H52.00	7H52
275868019	Destruction of lesion of muscle	7H52100	7H521
275883012	Release of contracture of muscle	7H54.00	7H54
275894011	Release of sternomastoid muscle	7H54400	7H544
275901010	Biopsy of muscle	7H55.00	7H55
275902015	Biopsy of neuromuscular junction	7H55000	7H550
275904019	Biopsy of muscle for physiological or biochemical study	7H55200	7H552
275914011	Stretching of muscle	7H56200	7H562
275915012	Drainage of muscle	7H56500	7H565
275916013	Incision of muscle	7H56600	7H566
275919018	Release of muscle origin	7H56900	7H569
254892016	O/E-muscle hypertrophy present	2933.00	2933
254899013	O/E - muscle tone hypertonic	2942.00	2942
254904012	O/E - muscle tone hypotonic	2945.00	2945
254905013	O/E - muscle tone atonic	2946.00	2946
254906014	O/E - atonic muscle	2946.11	2946-1
254908010	O/E - muscle tone spastic	2948.00	2948
254910012	O/E - muscular irritability	2952.00	2952
254911011	O/E - muscle irritable	295..11	295-1
254915019	O/E - muscle contracture	296..00	296
254917010	O/E - muscle contraction	2962.00	2962
254965011	O/E - muscle power reduced	29A2.00	29A2
254966012	O/E - muscle power unequal	29A3.00	29A3
254967015	O/E - muscle power absent	29A4.00	29A4
147444011	Progressive muscular atrophy	F152100	F1521
108529013	Polymyalgia rheumatica	N20..00	N20
297605010	Benign congenital myopathy	F390000	F3900
297608012	Hereditary progressive muscular dystrophy	F391.00	F391
297610014	Pelvic muscular dystrophy	F391200	F3912
297637011	Symptomatic inflammatory myopathy in disease EC	F396.00	F396
297639014	Myopathy due to disseminated lupus erythematosus	F396100	F3961
297640011	Myopathy due to polyarteritis nodosa	F396300	F3963
297641010	Myopathy due to rheumatoid arthritis	F396400	F3964
297643013	Myopathy due to sarcoidosis	F396500	F3965
297644019	Myopathy due to scleroderma	F396600	F3966
297645018	Myopathy due to Sjogren's disease	F396700	F3967
297647014	Proximal myopathy	F397.00	F397
111210017	Toxic myopathy	F394.00	F394
301719013	Lung disease with polymyositis	H57y100	H57y1
112508017	Ocular muscular dystrophy	F391600	F3916
114543015	Muscle pain	N241012	N2410-2
311572016	Infective myositis-neck	N230000	N2300
311573014	Infective myositis-back	N230100	N2301
311577010	Infective myositis-hand	N230500	N2305
311579013	Infective myositis-thigh	N230700	N2307
311580011	Infective myositis-leg	N230800	N2308
311582015	Muscle abscess	N230A00	N230A
311583013	Muscle abscess-neck	N230B00	N230B
311584019	Muscle abscess-back	N230C00	N230C
311585018	Muscle abscess-shoulder	N230D00	N230D
311586017	Muscle abscess-arm	N230E00	N230E
311587014	Muscle abscess-forearm	N230F00	N230F
311588016	Muscle abscess-hand	N230G00	N230G
311589012	Muscle abscess-pelvis	N230H00	N230H
311590015	Muscle abscess-thigh	N230J00	N230J
311591016	Muscle abscess-leg	N230K00	N230K
311592011	Muscle abscess-foot	N230L00	N230L
311616019	Myositis in sarcoidosis	N233200	N2332
311651010	Contracture of adductor muscle(s) of hip	N238D00	N238D
311652015	Contracture of abductor muscle(s) of hip	N238E00	N238E
311661015	Contracture of intrinsic muscle(s) of foot	N238N00	N238N
311671018	Inappropriate firing of muscle	N23y500	N23y5
311681019	Spasm of back muscles	N23yE00	N23yE
311690014	Muscular rheumatism	N240200	N2402
315184017	Hypoplasia of muscle	PGyy200	PGyy2
315186015	Aplasia of muscle	PGyy400	PGyy4
117800011	Traumatic myositis ossificans	N231200	N2312
359459016	Dermatopolymyositis in neoplastic disease	N003100	N0031
359513016	Giant cell arteritis with polymyalgia rheumatica	N200.00	N200
359712012	Drug-induced myopathy	F394000	F3940
359719015	Viral myalgia	N241300	N2413
359747016	Muscle crush syndrome	N23yF00	N23yF
359748014	Ischaemic infarction of muscle	N23yB00	N23yB
359754010	Rhabdomyolysis	N233300	N2333
393507010	Muscle transfer at elbow	7H40700	7H407
393510015	Ankle muscle transfer	7H40900	7H409
393517017	Transfer of wrist muscle	7H40F00	7H40F
400310018	Muscle, ligament and fascia disorders	N23..00	N23
400311019	Muscle calcification and ossification	N231.00	N231
402510012	O/E - muscle atrophy present	2932.00	2932
411815016	O/E- quadriceps muscle wasting	2932.11	2932-1
445636019	Skeletal muscle stimulator	7H56800	7H568
460126017	Cardiomyopathy in Duchenne muscular dystrophy	F391B00	F391B
485565019	Plastic repair of muscle	7H53.00	7H53
491939015	Transplantation of muscle	7H50.00	7H50
493920016	Muscle ossification	N231.11	N231-1
494684015	Percutaneous biopsy of muscle	7H55300	7H553
494944014	Congenital absence of muscle and tendon	PGy0.00	PGy0
495791019	Accessory muscle	PGy1.00	PGy1
504320012	Transposition of iliopsoas muscle	7H40600	7H406
1224974015	Myopathy in metabolic diseases	F398.00	F398
158058014	Intercostal myalgia	N241011	N2410-1
1233040016	Myopathy due to thyrotoxicosis	F395400	F3954
1481810012	Becker muscular dystrophy	F391800	F3918
1784692011	Juvenile dermatomyositis	N003000	N0030
121721014	Muscular dystrophy	F39B.00	F39B
2674494012	Catheter manometry of muscle compartment	7H56A00	7H56A
2693434014	Microvascular free tissue transfer of flap of muscle	7H50700	7H507
178467015	Diastasis of muscle	N23yA00	N23yA
178743010	Congenital hereditary muscular dystrophy	F390.00	F390
178750014	Emery-Dreifuss muscular dystrophy	F391A00	F391A
127307018	Duchenne muscular dystrophy	F391000	F3910
127522012	Suture of muscle	7H56400	7H564
127990018	Oculopharyngeal muscular dystrophy	F391700	F3917
130209011	Erb's muscular dystrophy	F391100	F3911
1776211019	Dermatomyositis	N003.00	N003
1778554019	Facioscapulohumeral muscular dystrophy	F391400	F3914
2184271000000115	Acute renal failure due to non-traumatic rhabdomyolysis	K045.00	K045
2198081000000118	Acute renal failure due to traumatic rhabdomyolysis	K04B.00	K04B
297655019	Myopathy or muscular dystrophy NOS	F39z.00	F39z
311696015	Myalgia and myositis unspecified	N241.00	N241
41386013	Fibromyalgia	N248.00	N248
84200019	Peroneal muscular atrophy	F361.00	F361
141723016	Adult spinal muscular atrophy	F151200	F1512
143230018	Poikilodermatomyositis	N003.11	N003-1
158050019	Polymyalgia	N20..11	N20-1
254914015	O/E -muscular irritability NOS	295Z.00	295Z
254920019	O/E - muscle contracture NOS	296Z.00	296Z
275857019	Other specified transplantation of muscle	7H50y00	7H50y
275858012	Transplantation of muscle NOS	7H50z00	7H50z
275862018	Partial excision of muscle NEC	7H51200	7H512
275863011	Debridement of muscle NEC	7H51300	7H513
275864017	Other specified excision of muscle	7H51y00	7H51y
275865016	Excision of muscle NOS	7H51z00	7H51z
275867012	Excision of lesion of muscle NEC	7H52000	7H520
275870011	Extirpation of lesion of muscle NOS	7H52z00	7H52z
275878016	Other plastic repair muscle	7H53v00	7H53v
275879012	Other specified primary repair of muscle	7H53w00	7H53w
275880010	Other specified secondary repair of muscle	7H53x00	7H53x
275881014	Other specified repair of muscle	7H53y00	7H53y
275882019	Repair of muscle NOS	7H53z00	7H53z
275899018	Other specified release of contracture of muscle	7H54y00	7H54y
275900011	Release of contracture of muscle NOS	7H54z00	7H54z
275903013	Biopsy of lesion of muscle NEC	7H55100	7H551
275905018	Other specified biopsy of muscle	7H55y00	7H55y
275906017	Biopsy of muscle NOS	7H55z00	7H55z
275907014	Other operations on muscle	7H56.00	7H56
275909012	Repair of muscle NEC	7H56000	7H560
275920012	Other specified other operation on muscle	7H56y00	7H56y
275921011	Other operation on muscle NOS	7H56z00	7H56z
275922016	Other specified operations on muscle	7H5y.00	7H5y
275924015	Muscle operations NOS	7H5z.00	7H5z
280786016	[SO]Pronator muscle	7N83300	7N833
297125013	Unspecified spinal muscular atrophy	F151000	F1510
297127017	Spinal muscular atrophy NOS	F151z00	F151z
297522019	Peroneal muscular atrophy NOS	F361z00	F361z
297602013	Muscular dystrophies and other myopathies	F39..00	F39
297607019	Congenital hereditary muscular dystrophy NOS	F390z00	F390z
297623019	Hereditary progressive muscular dystrophy NOS	F391z00	F391z
297635015	Myopathy due to endocrine disease EC	F395.00	F395
297636019	Myopathy due to endocrine disease NOS	F395z00	F395z
297646017	Symptomatic inflammatory myopathy in disease NOS	F396z00	F396z
297654015	Other myopathies and muscular dystrophies	F39y.00	F39y
298835019	Strabismus due to other neuromuscular disorder	F4J7200	F4J72
299306010	[X]Paraneoplastic neuromyopathy and neuropathy	Fyu1300	Fyu13
299379016	[X]Other primary disorders of muscles	Fyu8100	Fyu81
299390014	[X]Myopathy in other diseases classified elsewhere	Fyu8900	Fyu89
299391013	[X]Mitochondrial myopathy, not elsewhere classified	Fyu8A00	Fyu8A
299392018	[X]Inflammatory myopathy, not elsewhere classified	Fyu8B00	Fyu8B
315169014	Other specified muscle, tendon and fascia anomaly	PGy..00	PGy
315189010	Other anomaly of tendon, fascia or muscle NOS	PGyyz00	PGyyz
315190018	Other muscle, tendon or fascia anomalies NOS	PGyz.00	PGyz
315194010	Unspecified anomaly of muscle	PGz0.00	PGz0
359639010	Muscle damage NOS	N23z.11	N23z-1
393530016	Division of muscle NEC	7H56100	7H561
399421019	Other specified hereditary progressive muscular dystrophy	F391y00	F391y
400312014	Muscular calcification and ossification, unspecified	N231000	N2310
400313016	Muscle, ligament or fascia disorder NOS	N23z.00	N23z
400314010	Myalgia unspecified	N241000	N2410
400939012	Other absent muscle	PGy0200	PGy02
400940014	Other specified other anomalies of muscle, tendon and fascia	PGyy.00	PGyy
416784015	Release of intrinsic muscle of hand	7H54600	7H546
27731000006112	Other limb-girdle muscular dystrophy	F391300	F3913
53311000006111	Wide excision of muscle	7H51000	7H510
56471000006116	Zancolli transfer of wrist muscle	7H40F12	7H40F-2
