MedCodeId	Term	CleansedReadCode	OriginalReadCode	status	label
14866014	Non-smoker	1371.11	1371-1	0	Non-smoker
250368013	Keeps trying to stop smoking	137C.00	137C	2	Current smoker
250372012	Trying to give up smoking	137G.00	137G	2	Current smoker
250373019	Stopped smoking	137K.00	137K	1	Ex-smoker
250374013	Current non-smoker	137L.00	137L	0	Non-smoker
250375014	Rolls own cigarettes	137M.00	137M	2	Current smoker
250385010	Date ceased smoking	137T.00	137T	1	Ex-smoker
99639019	Cigar smoker	137J.00	137J	2	Current smoker
136515019	Pipe smoker	137H.00	137H	2	Current smoker
78013015	Smokers' cough	H310100	H3101	2	Current smoker
216212011	Smoking reduced	137V.00	137V	2	Current smoker
108938018	Cigarette smoker	137P.00	137P	2	Current smoker
285793015	Stop smoking monitor default	9OO3.00	9OO3	2	Current smoker
285805010	Stop smoking monitoring delete	9OO9.00	9OO9	2	Current smoker
295257016	Tobacco dependence, continuous	E251100	E2511	2	Current smoker
295259018	Tobacco dependence in remission	E251300	E2513	1	Ex-smoker
338608011	Smoking cessation advice	8CAL.00	8CAL	2	Current smoker
344793011	Cigarette consumption	137X.00	137X	2	Current smoker
344794017	Cigar consumption	137Y.00	137Y	2	Current smoker
344795016	Pipe tobacco consumption	137a.00	137a	2	Current smoker
150398019	Nicotine withdrawal	E023.00	E023	2	Current smoker
397732011	Never smoked tobacco	1371.00	1371	0	Non-smoker
418914010	Ex-cigarette smoker	137j.00	137j	1	Ex-smoker
457286014	Nicotine replacement therapy	8B2B.00	8B2B	2	Current smoker
459484017	Nicotine replacement therapy refused	8I39.00	8I39	2	Current smoker
459524018	Over the counter nicotine replacement therapy	8B3Y.00	8B3Y	2	Current smoker
459722017	Referral to stop-smoking clinic	8HTK.00	8HTK	2	Current smoker
503483019	Current smoker	137R.00	137R	2	Current smoker
1484932017	Smoking cessation milestones	13p..00	13p	2	Current smoker
1484933010	Negotiated date for cessation of smoking	13p0.00	13p0	2	Current smoker
1484934016	Smoking status at 4 weeks	13p1.00	13p1	2	Current smoker
1484935015	Smoking status between 4 and 52 weeks	13p2.00	13p2	2	Current smoker
1484936019	Smoking status at 52 weeks	13p3.00	13p3	2	Current smoker
1484937011	Nicotine replacement therapy provided free	8B3f.00	8B3f	2	Current smoker
2474719011	Minutes from waking to first tobacco consumption	137h.00	137h	2	Current smoker
2534083012	Carbon monoxide reading at 4 weeks	13p6.00	13p6	2	Current smoker
2669652019	Smoking started	137Q.00	137Q	2	Current smoker
62881000000117	DNA - Did not attend smoking cessation clinic	9N4M.00	9N4M	2	Current smoker
265092010	Pregnancy smoking advice	67A3.00	67A3	2	Current smoker
303501000000115	Smoking cessation advice provided by community pharmacist	8CAg.00	8CAg	2	Current smoker
482771000000118	Smoking cessation drug therapy	745H400	745H4	2	Current smoker
482811000000118	Nicotine replacement therapy using nicotine gum	745H100	745H1	2	Current smoker
482831000000114	Nicotine replacement therapy using nicotine inhalator	745H200	745H2	2	Current smoker
492511000000117	Smoking cessation therapy	745H.00	745H	2	Current smoker
1488576014	Thinking about stopping smoking	137c.00	137c	2	Current smoker
1488577017	Ready to stop smoking	137b.00	137b	2	Current smoker
1488578010	Not interested in stopping smoking	137d.00	137d	2	Current smoker
1488666019	No smokers in the household	13WK.00	13WK	0	Non-smoker
128130017	Smoker	137P.11	137P-1	2	Current smoker
