ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release	type	label
2261041000033114	134489001	Atorvastatin 80mg tablets	Atorvastatin 80mg tablets	Tablet	Oral	Atorvastatin calcium trihydrate	80.000mg	2120000	NA	1	atorvastatin
2261141000033113	756111000001109	Lipitor 80mg tablets (Pfizer Ltd)	Lipitor 80mg tablets	Tablet	Oral	Atorvastatin calcium trihydrate	80.000mg	2120000	NA	1	atorvastatin
1336841000033110	319996000	Simvastatin 10mg tablets	Simvastatin 10mg tablets	Tablet	Oral	Simvastatin	10.000mg	2120000	NA	5	simvastatin
1562841000033119	108111000001106	Zocor 10mg tablets (Merck Sharp & Dohme Ltd)	Zocor 10mg tablets	Tablet	Oral	Simvastatin	10.000mg	2120000	NA	5	simvastatin
2973941000033116	4896211000001101	Simvador 10mg tablets (Discovery Pharmaceuticals)	Simvador 10mg tablets	Tablet	Oral	Simvastatin	10.000mg	2120000	NA	5	simvastatin
3140841000033113	7630211000001106	Ranzolont 10mg tablets (Ranbaxy (UK) Ltd)	Ranzolont 10mg tablets	Tablet	Oral	Simvastatin	10.000mg		NA	5	simvastatin
3140941000033117	7631911000001109	Ranzolont 20mg tablets (Ranbaxy (UK) Ltd)	Ranzolont 20mg tablets	Tablet	Oral	Simvastatin	20.000mg		NA	5	simvastatin
2974041000033119	4896511000001103	Simvador 20mg tablets (Discovery Pharmaceuticals)	Simvador 20mg tablets	Tablet	Oral	Simvastatin	20.000mg	2120000	NA	5	simvastatin
1562941000033110	776811000001104	Zocor 20mg tablets (Merck Sharp & Dohme Ltd)	Zocor 20mg tablets	Tablet	Oral	Simvastatin	20.000mg	2120000	NA	5	simvastatin
1336941000033119	319997009	Simvastatin 20mg tablets	Simvastatin 20mg tablets	Tablet	Oral	Simvastatin	20.000mg	2120000	NA	5	simvastatin
1337541000033111	320000009	Simvastatin 40mg tablets	Simvastatin 40mg tablets	Tablet	Oral	Simvastatin	40.000mg	2120000	NA	5	simvastatin
1562241000033118	859611000001107	Zocor 40mg tablets (Merck Sharp & Dohme Ltd)	Zocor 40mg tablets	Tablet	Oral	Simvastatin	40.000mg	2120000	NA	5	simvastatin
2974141000033115	4896711000001108	Simvador 40mg tablets (Discovery Pharmaceuticals)	Simvador 40mg tablets	Tablet	Oral	Simvastatin	40.000mg	2120000	NA	5	simvastatin
3141041000033110	7632811000001108	Ranzolont 40mg tablets (Ranbaxy (UK) Ltd)	Ranzolont 40mg tablets	Tablet	Oral	Simvastatin	40.000mg		NA	5	simvastatin
2066341000033111	113211000001106	Zocor 80mg tablets (Merck Sharp & Dohme Ltd)	Zocor 80mg tablets	Tablet	Oral	Simvastatin	80.000mg	2120000	NA	5	simvastatin
2066241000033118	320006003	Simvastatin 80mg tablets	Simvastatin 80mg tablets	Tablet	Oral	Simvastatin	80.000mg	2120000	NA	5	simvastatin
4941641000033116	15158611000001106	Simvador 80mg tablets (Discovery Pharmaceuticals)	Simvador 80mg tablets	Tablet	Oral	Simvastatin	80.000mg	2120000	NA	5	simvastatin
1130141000033111	320012008	Pravastatin 10mg tablets	Pravastatin 10mg tablets	Tablet	Oral	Pravastatin sodium	10.000mg	2120000	NA	3	pravastatin
834841000033118	802411000001108	Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lipostat 10mg tablets	Tablet	Oral	Pravastatin sodium	10.000mg	2120000	NA	3	pravastatin
834941000033114	454111000001107	Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lipostat 20mg tablets	Tablet	Oral	Pravastatin sodium	20.000mg	2120000	NA	3	pravastatin
1130241000033116	320013003	Pravastatin 20mg tablets	Pravastatin 20mg tablets	Tablet	Oral	Pravastatin sodium	20.000mg	2120000	NA	3	pravastatin
1136541000033116	320014009	Pravastatin 40mg tablets	Pravastatin 40mg tablets	Tablet	Oral	Pravastatin sodium	40.000mg	2120000	NA	3	pravastatin
836541000033110	535011000001102	Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lipostat 40mg tablets	Tablet	Oral	Pravastatin sodium	40.000mg	2120000	NA	3	pravastatin
578641000033114	320022002	Fluvastatin 20mg capsules	Fluvastatin 20mg capsules	Capsule	Oral	Fluvastatin sodium	20.000mg	2120000	NA	2	fluvastatin
819941000033119	84811000001104	Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd)	Lescol 20mg capsules	Capsule	Oral	Fluvastatin sodium	20.000mg	2120000	NA	2	fluvastatin
820041000033116	409611000001108	Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd)	Lescol 40mg capsules	Capsule	Oral	Fluvastatin sodium	40.000mg	2120000	NA	2	fluvastatin
578741000033117	320023007	Fluvastatin 40mg capsules	Fluvastatin 40mg capsules	Capsule	Oral	Fluvastatin sodium	40.000mg	2120000	NA	2	fluvastatin
91941000033117	320029006	Atorvastatin 10mg tablets	Atorvastatin 10mg tablets	Tablet	Oral	Atorvastatin calcium trihydrate	10.000mg	2120000	NA	1	atorvastatin
836241000033113	643911000001108	Lipitor 10mg tablets (Pfizer Ltd)	Lipitor 10mg tablets	Tablet	Oral	Atorvastatin calcium trihydrate	10.000mg	2120000	NA	1	atorvastatin
836341000033115	232011000001102	Lipitor 20mg tablets (Pfizer Ltd)	Lipitor 20mg tablets	Tablet	Oral	Atorvastatin calcium trihydrate	20.000mg	2120000	NA	1	atorvastatin
92041000033111	320030001	Atorvastatin 20mg tablets	Atorvastatin 20mg tablets	Tablet	Oral	Atorvastatin calcium trihydrate	20.000mg	2120000	NA	1	atorvastatin
92141000033110	320031002	Atorvastatin 40mg tablets	Atorvastatin 40mg tablets	Tablet	Oral	Atorvastatin calcium trihydrate	40.000mg	2120000	NA	1	atorvastatin
836441000033114	484211000001108	Lipitor 40mg tablets (Pfizer Ltd)	Lipitor 40mg tablets	Tablet	Oral	Atorvastatin calcium trihydrate	40.000mg	2120000	NA	1	atorvastatin
2892041000033111	4172111000001108	Crestor 40mg tablets (AstraZeneca UK Ltd)	Crestor 40mg tablets	Tablet	Oral	Rosuvastatin calcium	40.000mg	2120000	NA	4	rosuvastatin
