medcode	readcode	readterm
35674	14A3.00	H/O: myocardial infarct <60
40399	14A4.00	H/O: myocardial infarct >60
6336	14A5.00	H/O: angina pectoris
50372	14AH.00	H/O: Myocardial infarction in last year
57062	14AJ.00	H/O: Angina in last year
9913	1O1..00	Heart failure confirmed
18499	662U.00	Peripheral vascular disease monitoring
5904	792..00	Coronary artery operations
737	792..11	Coronary artery bypass graft operations
18249	7920.00	Saphenous vein graft replacement of coronary artery
8312	7920.11	Saphenous vein graft bypass of coronary artery
8679	7920000	Saphenous vein graft replacement of one coronary artery
7634	7920100	Saphenous vein graft replacement of two coronary arteries
7442	7920200	Saphenous vein graft replacement of three coronary arteries
11610	7920300	Saphenous vein graft replacement of four+ coronary arteries
7137	7920y00	Saphenous vein graft replacement of coronary artery OS
51515	7920z00	Saphenous vein graft replacement coronary artery NOS
9414	7921.00	Other autograft replacement of coronary artery
7134	7921.11	Other autograft bypass of coronary artery
44561	7921000	Autograft replacement of one coronary artery NEC
19413	7921100	Autograft replacement of two coronary arteries NEC
10209	7921200	Autograft replacement of three coronary arteries NEC
42708	7921300	Autograft replacement of four of more coronary arteries NEC
61310	7921y00	Other autograft replacement of coronary artery OS
7609	7921z00	Other autograft replacement of coronary artery NOS
31556	7922.00	Allograft replacement of coronary artery
32651	7922.11	Allograft bypass of coronary artery
70111	7922000	Allograft replacement of one coronary artery
57241	7922100	Allograft replacement of two coronary arteries
45886	7922200	Allograft replacement of three coronary arteries
45370	7922300	Allograft replacement of four or more coronary arteries
59423	7922y00	Other specified allograft replacement of coronary artery
48767	7922z00	Allograft replacement of coronary artery NOS
19402	7923.00	Prosthetic replacement of coronary artery
36011	7923.11	Prosthetic bypass of coronary artery
92419	7923000	Prosthetic replacement of one coronary artery
66664	7923100	Prosthetic replacement of two coronary arteries
66236	7923200	Prosthetic replacement of three coronary arteries
67761	7923300	Prosthetic replacement of four or more coronary arteries
19193	7923z00	Prosthetic replacement of coronary artery NOS
33461	7924.00	Revision of bypass for coronary artery
52938	7924000	Revision of bypass for one coronary artery
67554	7924100	Revision of bypass for two coronary arteries
31540	7924200	Revision of bypass for three coronary arteries
101569	7924300	Revision of bypass for four or more coronary arteries
63153	7924500	Revision of implantation of thoracic artery into heart
97953	7924y00	Other specified revision of bypass for coronary artery
57634	7924z00	Revision of bypass for coronary artery NOS
37682	7925.00	Connection of mammary artery to coronary artery
28837	7925.11	Creation of bypass from mammary artery to coronary artery
33718	7925000	Double anastomosis of mammary arteries to coronary arteries
48822	7925011	LIMA sequential anastomosis
92233	7925012	RIMA sequential anastomosis
31519	7925100	Double implant of mammary arteries into coronary arteries
