medcode	readcode	readterm	group	label
25656	1341	European origin	0	White
45125	1342	African origin	1	Black
25801	1343	Asian origin	3	Mixed and Other
41150	1344	North American origin	0	White
32101	1345	South American origin	3	Mixed and Other
47975	1346	Australian origin	0	White
45144	1347	Indian origin	2	South Asian
47951	1348	Middle Eastern origin	3	Mixed and Other
47960	1349	Far Eastern origin	3	Mixed and Other
45131	134A.00	West Indian origin	1	Black
12191	134B.00	RACE: Caucasian	0	White
12875	134C.00	RACE: Arab	3	Mixed and Other
32224	134D.00	RACE: Chinese	3	Mixed and Other
45163	134E.00	RACE: Japanese	3	Mixed and Other
41394	134F.00	RACE: Korean	3	Mixed and Other
41200	134G.00	RACE: Oriental	3	Mixed and Other
25894	134H.00	RACE: Afro-caribbean	1	Black
26348	134I.00	RACE: Bangladeshi	2	South Asian
30408	134J.00	RACE: Mixed	3	Mixed and Other
32095	134K.00	RACE: West indian	1	Black
45167	134L.00	RACE: Afro-caucasian	1	Black
26062	134M.00	RACE: Pakistani	2	South Asian
25550	134N.00	RACE: White	0	White
32391	134P.11	RACE: Other	3	Mixed and Other
12351	9i0..00	British or mixed British - ethnic category 2001 census	0	White
98111	9i00.00	White British - ethnic category 2001 census	0	White
12532	9i1..00	Irish - ethnic category 2001 census	0	White
98213	9i10.00	White Irish - ethnic category 2001 census	0	White
12421	9i2..00	Other White background - ethnic category 2001 census	0	White
12352	9i20.00	English - ethnic category 2001 census	0	White
12436	9i21.00	Scottish - ethnic category 2001 census	0	White
12681	9i22.00	Welsh - ethnic category 2001 census	0	White
28887	9i23.00	Cornish - ethnic category 2001 census	0	White
42294	9i24.00	Northern Irish - ethnic category 2001 census	0	White
40102	9i25.00	Ulster Scots - ethnic category 2001 census	0	White
32778	9i26.00	Cypriot (part not stated) - ethnic category 2001 census	0	White
12355	9i27.00	Greek - ethnic category 2001 census	0	White
12769	9i28.00	Greek Cypriot - ethnic category 2001 census	0	White
12746	9i29.00	Turkish - ethnic category 2001 census	0	White
32413	9i2A.00	Turkish Cypriot - ethnic category 2001 census	0	White
12412	9i2B.00	Italian - ethnic category 2001 census	0	White
55223	9i2C.00	Irish Traveller - ethnic category 2001 census	0	White
55113	9i2D.00	Traveller - ethnic category 2001 census	0	White
42290	9i2E.00	Gypsy/Romany - ethnic category 2001 census	0	White
12467	9i2F.00	Polish - ethnic category 2001 census	0	White
12433	9i2G.00	Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census	0	White
28973	9i2H.00	Commonwealth (Russian) Indep States - ethn categ 2001 census	0	White
26341	9i2J.00	Kosovan - ethnic category 2001 census	0	White
25422	9i2K.00	Albanian - ethnic category 2001 census	0	White
46956	9i2L.00	Bosnian - ethnic category 2001 census	0	White
28866	9i2M.00	Croatian - ethnic category 2001 census	0	White
47074	9i2N.00	Serbian - ethnic category 2001 census	0	White
28936	9i2P.00	Other republics former Yugoslavia - ethnic categ 2001 census	0	White
26391	9i2Q.00	Mixed Irish and other White - ethnic category 2001 census	0	White
12402	9i2R.00	Oth White European/European unsp/Mixed European 2001 census	0	White
28900	9i2S.00	Other mixed White - ethnic category 2001 census	0	White
12591	9i2T.00	Other White or White unspecified ethnic category 2001 census	0	White
12742	9i3..00	White and Black Caribbean - ethnic category 2001 census	3	Mixed and Other
12437	9i4..00	White and Black African - ethnic category 2001 census	3	Mixed and Other
12638	9i5..00	White and Asian - ethnic category 2001 census	3	Mixed and Other
12873	9i6..00	Other Mixed background - ethnic category 2001 census	3	Mixed and Other
12795	9i60.00	Black and Asian - ethnic category 2001 census	3	Mixed and Other
49940	9i61.00	Black and Chinese - ethnic category 2001 census	3	Mixed and Other
40110	9i62.00	Black and White - ethnic category 2001 census	3	Mixed and Other
12706	9i63.00	Chinese and White - ethnic category 2001 census	3	Mixed and Other
47005	9i64.00	Asian and Chinese - ethnic category 2001 census	3	Mixed and Other
32408	9i65.00	Other Mixed or Mixed unspecified ethnic category 2001 census	3	Mixed and Other
12414	9i7..00	Indian or British Indian - ethnic category 2001 census	2	South Asian
12460	9i8..00	Pakistani or British Pakistani - ethnic category 2001 census	2	South Asian
28888	9i9..00	Bangladeshi or British Bangladeshi - ethn categ 2001 census	2	South Asian
12513	9iA..00	Other Asian background - ethnic category 2001 census	3	Mixed and Other
26392	9iA1.00	Punjabi - ethnic category 2001 census	2	South Asian
64133	9iA2.00	Kashmiri - ethnic category 2001 census	2	South Asian
47077	9iA3.00	East African Asian - ethnic category 2001 census	2	South Asian
12608	9iA4.00	Sri Lankan - ethnic category 2001 census	2	South Asian
12760	9iA5.00	Tamil - ethnic category 2001 census	2	South Asian
12887	9iA6.00	Sinhalese - ethnic category 2001 census	2	South Asian
32399	9iA7.00	Caribbean Asian - ethnic category 2001 census	2	South Asian
12653	9iA8.00	British Asian - ethnic category 2001 census	3	Mixed and Other
46056	9iA9.00	Mixed Asian - ethnic category 2001 census	3	Mixed and Other
28935	9iAA.00	Other Asian or Asian unspecified ethnic category 2001 census	3	Mixed and Other
12432	9iB..00	Caribbean - ethnic category 2001 census	1	Black
12350	9iC..00	African - ethnic category 2001 census	1	Black
32389	9iD..00	Other Black background - ethnic category 2001 census	1	Black
12443	9iD0.00	Somali - ethnic category 2001 census	1	Black
32886	9iD1.00	Nigerian - ethnic category 2001 census	1	Black
40097	9iD2.00	Black British - ethnic category 2001 census	1	Black
40096	9iD3.00	Mixed Black - ethnic category 2001 census	1	Black
46047	9iD4.00	Other Black or Black unspecified ethnic category 2001 census	1	Black
12468	9iE..00	Chinese - ethnic category 2001 census	3	Mixed and Other
12434	9iF..00	Other - ethnic category 2001 census	3	Mixed and Other
12719	9iF0.00	Vietnamese - ethnic category 2001 census	3	Mixed and Other
12473	9iF1.00	Japanese - ethnic category 2001 census	3	Mixed and Other
12420	9iF2.00	Filipino - ethnic category 2001 census	3	Mixed and Other
12730	9iF3.00	Malaysian - ethnic category 2001 census	3	Mixed and Other
63872	9iF4.00	Buddhist - ethnic category 2001 census	3	Mixed and Other
56127	9iF5.00	Hindu - ethnic category 2001 census	3	Mixed and Other
46063	9iF6.00	Jewish - ethnic category 2001 census	3	Mixed and Other
47091	9iF7.00	Muslim - ethnic category 2001 census	3	Mixed and Other
49658	9iF8.00	Sikh - ethnic category 2001 census	3	Mixed and Other
