Deficit	medcode
Respiratory disease	7177
Respiratory disease	16342
Respiratory disease	719
Respiratory disease	96931
Respiratory disease	4931
Respiratory disease	7706
Respiratory disease	7708
Respiratory disease	1612
Respiratory disease	5867
Respiratory disease	11022
Respiratory disease	41017
Respiratory disease	11370
Respiratory disease	23285
Respiratory disease	25083
Respiratory disease	10420
Respiratory disease	93736
Respiratory disease	1608
Respiratory disease	9177
Respiratory disease	7416
Respiratory disease	30815
Respiratory disease	38146
Respiratory disease	13175
Respiratory disease	13173
Respiratory disease	38143
Respiratory disease	7191
Respiratory disease	13174
Respiratory disease	7378
Respiratory disease	13064
Respiratory disease	3458
Respiratory disease	3018
Respiratory disease	13065
Respiratory disease	3366
Respiratory disease	7229
Respiratory disease	24479
Respiratory disease	25181
Respiratory disease	26504
Respiratory disease	13066
Respiratory disease	10487
Respiratory disease	25944
Respiratory disease	47337
Respiratory disease	19520
Respiratory disease	19519
Respiratory disease	42824
Respiratory disease	39570
Respiratory disease	26501
Respiratory disease	31225
Respiratory disease	24884
Respiratory disease	26503
Respiratory disease	38144
Respiratory disease	38145
Respiratory disease	9018
Respiratory disease	9552
Respiratory disease	9663
Respiratory disease	18223
Respiratory disease	9520
Respiratory disease	37371
Respiratory disease	18141
Respiratory disease	18501
Respiratory disease	10043
Respiratory disease	13176
Respiratory disease	18621
Respiratory disease	11287
Respiratory disease	31167
Respiratory disease	19167
Respiratory disease	30458
Respiratory disease	26018
Respiratory disease	45998
Respiratory disease	47993
Respiratory disease	19106
Respiratory disease	19003
Respiratory disease	28743
Respiratory disease	45770
Respiratory disease	45771
Respiratory disease	46036
Respiratory disease	26496
Respiratory disease	42313
Respiratory disease	26439
Respiratory disease	6675
Respiratory disease	32889
Respiratory disease	52661
Respiratory disease	29645
Respiratory disease	16785
Respiratory disease	16667
Respiratory disease	18224
Respiratory disease	20886
Respiratory disease	20860
Respiratory disease	10274
Respiratory disease	25791
Respiratory disease	45777
Respiratory disease	30647
Respiratory disease	46844
Respiratory disease	7058
Respiratory disease	11019
Respiratory disease	40735
Respiratory disease	18763
Respiratory disease	5515
Respiratory disease	30308
Respiratory disease	35303
Respiratory disease	46529
Respiratory disease	11387
Respiratory disease	41554
Respiratory disease	37943
Respiratory disease	19539
Respiratory disease	42258
Respiratory disease	11266
Respiratory disease	11673
Respiratory disease	11695
Respiratory disease	97800
Respiratory disease	99948
Respiratory disease	1266
Respiratory disease	96209
Respiratory disease	245
Respiratory disease	34065
Respiratory disease	5733
Respiratory disease	1001
Respiratory disease	148
Respiratory disease	152
Respiratory disease	3243
Respiratory disease	25603
Respiratory disease	15626
Respiratory disease	61118
Respiratory disease	11150
Respiratory disease	40159
Respiratory disease	37959
Respiratory disease	27819
Respiratory disease	5798
Respiratory disease	1446
Respiratory disease	44525
Respiratory disease	66043
Respiratory disease	68066
Respiratory disease	15157
Respiratory disease	794
Respiratory disease	78
Respiratory disease	7146
Respiratory disease	14777
Respiratory disease	27926
Respiratory disease	45782
Respiratory disease	5267
Respiratory disease	29325
Respiratory disease	58196
Respiratory disease	45073
Respiratory disease	25796
Respiratory disease	185
Respiratory disease	40823
Respiratory disease	4442
Respiratory disease	4892
Respiratory disease	232
Respiratory disease	12987
Respiratory disease	16070
Respiratory disease	10863
Respiratory disease	10802
Respiratory disease	9876
Respiratory disease	93568
Respiratory disease	12166
Respiratory disease	21061
Respiratory disease	7884
Respiratory disease	5710
Respiratory disease	22835
Respiratory disease	65733
Respiratory disease	31724
Respiratory disease	1160
Respiratory disease	48591
Respiratory disease	51116
Respiratory disease	16976
