medcode	readcode	readterm
9760	14G2.00	H/O: osteoarthritis
17282	2G26.00	O/E - hands - Heberden's nodes
8920	F163200	Myelopathy due to spondylosis
23699	F337200	Nerve root and plexus compressions in spondylosis
3057	N05..00	Osteoarthritis and allied disorders
396	N05..11	Osteoarthritis
4353	N050.00	Generalised osteoarthritis - OA
38631	N050000	Generalised osteoarthritis of unspecified site
36327	N050100	Generalised osteoarthritis of the hand
4015	N050111	Heberdens' nodes
35919	N050112	Bouchards' nodes
23676	N050200	Generalised osteoarthritis of multiple sites
38018	N050300	Bouchard's nodes with arthropathy
23646	N050400	Primary generalized osteoarthrosis
11256	N050500	Secondary multiple arthrosis
38019	N050600	Erosive osteoarthrosis
24432	N050700	Heberden's nodes with arthropathy
34867	N050z00	Generalised osteoarthritis NOS
32839	N051.00	Localised, primary osteoarthritis
54224	N051000	Localised, primary osteoarthritis of unspecified site
24022	N051100	Localised, primary osteoarthritis of the shoulder region
24217	N051200	Localised, primary osteoarthritis of the upper arm
34806	N051300	Localised, primary osteoarthritis of the forearm
21350	N051400	Localised, primary osteoarthritis of the hand
15839	N051500	Localised, primary osteoarthritis of the pelvic region/thigh
21159	N051600	Localised, primary osteoarthritis of the lower leg
25793	N051700	Localised, primary osteoarthritis of the ankle and foot
20472	N051800	Localised, primary osteoarthritis of other specified site
24287	N051900	Primary coxarthrosis, bilateral
25812	N051A00	Coxarthrosis resulting from dysplasia, bilateral
24146	N051B00	Primary gonarthrosis, bilateral
36182	N051C00	Primary arthrosis of first carpometacarpal joints, bilateral
24958	N051D00	Localised, primary osteoarthritis of the wrist
28908	N051E00	Localised, primary osteoarthritis of toe
18602	N051F00	Localised, primary osteoarthritis of elbow
20660	N051z00	Localised, primary osteoarthritis NOS
42045	N052.00	Localised, secondary osteoarthritis
68712	N052000	Localised, secondary osteoarthritis of unspecified site
33574	N052100	Localised, secondary osteoarthritis of the shoulder region
41088	N052200	Localised, secondary osteoarthritis of the upper arm
45815	N052300	Localised, secondary osteoarthritis of the forearm
23638	N052400	Localised, secondary osteoarthritis of the hand
44041	N052500	Localised, secondary osteoarthritis of pelvic region/thigh
33479	N052600	Localised, secondary osteoarthritis of the lower leg
34035	N052700	Localised, secondary osteoarthritis of the ankle and foot
32891	N052800	Localised, secondary osteoarthritis of other specified site
64503	N052900	Post-traumatic coxarthrosis, bilateral
24392	N052A00	Post-traumatic gonarthrosis, bilateral
60183	N052B00	Post-traumatic arthrosis of first carpometacarpal jt bilat
50470	N052C00	Post-traumatic gonarthrosis, unilateral
57912	N052z00	Localised, secondary osteoarthritis NOS
34122	N053.00	Localised osteoarthritis, unspecified
49545	N053000	Localised osteoarthritis, unspecified, of unspecified site
15441	N053100	Localised osteoarthritis, unspecified, of shoulder region
59637	N053200	Localised osteoarthritis, unspecified, of the upper arm
60537	N053300	Localised osteoarthritis, unspecified, of the forearm
16242	N053400	Localised osteoarthritis, unspecified, of the hand
20626	N053500	Localised osteoarthritis, unspecified, pelvic region/thigh
1104	N053512	Hip osteoarthitis NOS
34804	N053600	Localised osteoarthritis, unspecified, of the lower leg
1296	N053611	Patellofemoral osteoarthritis
4461	N053700	Localised osteoarthritis, unspecified, of the ankle and foot
