Deficit	medcode
Heart failure	15058
Heart failure	46912
Heart failure	6434
Heart failure	9913
Heart failure	7251
Heart failure	46672
Heart failure	11284
Heart failure	12366
Heart failure	30779
Heart failure	13189
Heart failure	19066
Heart failure	83502
Heart failure	95835
Heart failure	60099
Heart failure	32945
Heart failure	32898
Heart failure	17851
Heart failure	26115
Heart failure	70619
Heart failure	12627
Heart failure	19002
Heart failure	95021
Heart failure	83481
Heart failure	69062
Heart failure	19380
Heart failure	89650
Heart failure	30749
Heart failure	64062
Heart failure	2062
Heart failure	398
Heart failure	23707
Heart failure	32671
Heart failure	94870
Heart failure	884
Heart failure	27964
Heart failure	4024
Heart failure	96799
Heart failure	8966
Heart failure	68682
