prodcode	productname	drugsubstance	bnfcode	bnfchapter
63	Erythromycin 250mg gastro-resistant tablets	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
103	Erythromycin 250mg gastro-resistant capsules	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
104	Benzamycin gel (Schwarz Pharma Ltd)	Benzoyl peroxide/Erythromycin	00000000	Unknown
105	Erythroped 250mg/5ml Liquid (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
184	Bezafibrate 200mg tablets	Bezafibrate	02120300	Fibrates
201	Erythrocin 1g/vial Injection (Abbott Laboratories Ltd)	Erythromycin lactobionate	05010500	Macrolides
318	Erymax 250mg Capsule (Elan Pharma)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
327	Erythroped a 500mg Tablet (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
331	Clarithromycin 125mg/5ml oral suspension	Clarithromycin	05010500	Macrolides
342	Fluconazole 50mg capsules	Fluconazole	05020100	Triazole Antifungals
397	Erythromycin 125mg/5ml oral suspension	Erythromycin Ethyl Succinate	05010500	Macrolides
401	Erythromycin 500mg ec gastro-resistant tablets	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
438	Erythromycin stearate 250mg tablets	Erythromycin stearate	05010500	Macrolides
480	Erythrocin 250mg Tablet (Abbott Laboratories Ltd)	Erythromycin stearate	05010500	Macrolides
532	Erythroped 250mg/5ml Oral suspension (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
537	Clarithromycin 250mg tablets	Clarithromycin	05010500	Macrolides
553	Erythromycin 250mg.5ml oral suspension	Erythromycin Ethyl Succinate	05010500	Macrolides
587	Fucidin 250mg tablets (LEO Pharma)	Sodium fusidate	05010700	Other Antibacterials
602	Bezafibrate 400mg modified-release tablets	Bezafibrate	02120300	Fibrates
653	Ezetimibe 10mg tablets	Ezetimibe	02120000	Lipid-regulating Drugs
681	Clarithromycin 500mg tablets	Clarithromycin	05010500	Macrolides
733	Erythromycin ethyl succinate 500mg tablets	Erythromycin ethyl succinate	05010500	Macrolides
762	Colchicine 500microgram tablets	Colchicine	10010450	Acute Attacks Of Gout
765	Clarithromycin 250mg granules sachets	Clarithromycin	05010500	Macrolides
788	Diflucan 50mg capsules (Pfizer Ltd)	Fluconazole	05020100	Triazole Antifungals
825	Erythroped pi 125mg/5ml Oral suspension (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
929	Daktacort 2%/1% cream (Janssen-Cilag Ltd)	Hydrocortisone/Miconazole nitrate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
946	Fucidin H ointment (LEO Pharma)	Hydrocortisone acetate/Sodium fusidate	00000000	Unknown
972	Neoral 25mg capsules (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
973	Neoral 100mg capsules (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
993	Erythroped forte 500mg/5ml Liquid (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
997	Erythroped pi 125mg/5ml Liquid (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
1040	Stiemycin 2% solution (Stiefel Laboratories (UK) Ltd)	Erythromycin	13060100	Topical Preparations For Acne
1064	Fucidin 20mg/g ointment (LEO Pharma)	Sodium fusidate	13100102	Antibacterial Preparations Also Used Systemically (for Skin Conditions)
1072	Erythrocin 500 500mg Tablet (Abbott Laboratories Ltd)	Erythromycin stearate	05010500	Macrolides
1214	Bezalip 400mg Tablet (Roche Products Ltd)	Bezafibrate	02120300	Fibrates
1215	Fenofibrate 100mg Capsule	Fenofibrate	02120300	Fibrates
1217	Lipantil micro 200 200mg Capsule (Fournier Pharmaceuticals Ltd)	Fenofibrate micronised	02120300	Fibrates
1309	Diflucan 150mg capsules (Pfizer Ltd)	Fluconazole	05020100	Triazole Antifungals
1313	Daktarin 2% cream (Janssen-Cilag Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
1324	Bezalip 200mg Tablet (Roche Products Ltd)	Bezafibrate	02120300	Fibrates
1430	Daktacort ointment (Janssen-Cilag Ltd)	Miconazole nitrate/Hydrocortisone	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
1497	Sodium fusidate 250mg tablets	Sodium fusidate	05010700	Other Antibacterials
1626	Ciclosporin 100mg/ml oral solution sugar free	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
1677	Miconazole with hydrocortisone 2% with 1% Cream	Miconazole Nitrate/Hydrocortisone Acetate	13040200/13100200	Mild Topical Corticosteroids/Antifungal Preparations (topical, For Skin Conditions)
1830	Diflucan One 150mg capsules (McNeil Products Ltd)	Fluconazole	05020000/05020100	Antifungal Drugs/Triazole Antifungals
1892	Fluconazole 150mg capsules	Fluconazole	05020100	Triazole Antifungals
1905	Neoral 100mg/ml oral solution (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
1966	Miconazole 100mg pessaries	Miconazole nitrate	00000000	Unknown
1967	Gyno-Daktarin 100mg pessaries (Janssen-Cilag Ltd)	Miconazole nitrate	00000000	Unknown
1968	Miconazole 2% cream	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
1970	Gyno-Daktarin 2% vaginal cream (Janssen-Cilag Ltd)	Miconazole nitrate	07020100	Preparations For Vaginal And Vulval Changes
2096	Daktarin Aktiv 2% powder (McNeil Products Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
2210	Sodium fusidate 2% ointment	Sodium fusidate	13100102	Antibacterial Preparations Also Used Systemically (for Skin Conditions)
2215	Lopid 300mg capsules (Pfizer Ltd)	Gemfibrozil	02120300	Fibrates
2225	Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free	Erythromycin ethyl succinate	05010500	Macrolides
2226	Erythromycin ethyl succinate 500mg/5ml oral suspension	Erythromycin ethyl succinate	05010500	Macrolides
2238	Miconazole 2% vaginal cream	Miconazole nitrate	07020100	Preparations For Vaginal And Vulval Changes
2326	Erythromycin 500mg/5ml oral suspension	Erythromycin Ethyl Succinate	05010500	Macrolides
2350	Erythromycin stearate 500mg tablets	Erythromycin stearate	05010500	Macrolides
2376	Erythromycin ethyl succinate 250mg/5ml oral suspension	Erythromycin ethyl succinate	05010500	Macrolides
2396	Daktarin 20mg/g oromucosal gel (Janssen-Cilag Ltd)	Miconazole	12030200	Oropharyngeal Anti-infective Drugs
2429	Erythromycin ethyl succinate 125mg/5ml oral suspension	Erythromycin ethyl succinate	05010500	Macrolides
2435	Lipantil 100mg Capsule (Fournier Pharmaceuticals Ltd)	Fenofibrate	02120300	Fibrates
2625	Hydrocortisone 1% / Miconazole 2% ointment	Miconazole nitrate/Hydrocortisone	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
2672	Zineryt lotion (LEO Pharma)	Erythromycin/Zinc acetate	13060102	Topical Antibacterials For Acne
2719	Klaricid 250mg tablets (Abbott Laboratories Ltd)	Clarithromycin	05010500	Macrolides
2756	Benzoyl peroxide 5% with Miconazole nitrate 2% cream	Miconazole Nitrate/Benzoyl Peroxide	13060101/13060102	Benzoyl Peroxide And Azelaic Acid For Acne/Topical Antibacterials For Acne
2837	Ciclosporin 50mg capsules	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
2838	Ciclosporin 25mg capsules	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
2875	Hydrocortisone acetate 1% / Sodium fusidate 2% ointment	Hydrocortisone acetate/Sodium fusidate	00000000	Unknown
3042	Erythroped pi 125mg Sachets (Abbott Laboratories Ltd)	Erythromycin Ethyl Succinate	05010500	Macrolides
3089	Ciprofibrate 100mg tablets	Ciprofibrate	02120300	Fibrates
3159	Fenofibrate 200mg capsules	Fenofibrate	02120300	Fibrates
3209	Erythromid 250mg Tablet (Abbott Laboratories Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
3280	Daktarin Twin pack (Janssen-Cilag Ltd)	Miconazole Nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
3318	Gemfibrozil 300mg capsules	Gemfibrozil	02120300	Fibrates
3572	Erythroped 250mg Powder (Abbott Laboratories Ltd)	Erythromycin Ethyl Succinate	05010500	Macrolides
3736	Klaricid 125mg/5ml Oral suspension (Abbott Laboratories Ltd)	Clarithromycin	05010500	Macrolides
3747	Acnidazil Cream (Johnson+Johnson MSD Consumer Pharmaceuticals)	Miconazole Nitrate/Benzoyl Peroxide	13060101/13060102	Benzoyl Peroxide And Azelaic Acid For Acne/Topical Antibacterials For Acne
3896	Ciclosporin 100mg capsules	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
3920	Sandimmun 25mg capsules (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
4062	Lopid 600mg tablets (Pfizer Ltd)	Gemfibrozil	02120300	Fibrates
4071	Diflucan 200mg capsules (Pfizer Ltd)	Fluconazole	05020100	Triazole Antifungals
4153	Erythrolar 250mg/5ml Liquid (Lagap)	Erythromycin ethyl succinate	05010500	Macrolides
4204	Miconazole 20mg/g oromucosal gel sugar free	Miconazole	12030200	Oropharyngeal Anti-infective Drugs
4229	Fluconazole 200mg capsules	Fluconazole	05020100	Triazole Antifungals
4231	Neoral 50mg capsules (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
4372	Erythroped forte 500mg Sachets (Abbott Laboratories Ltd)	Erythromycin Ethyl Succinate	05010500	Macrolides
4489	Erycen 250mg Tablet (Berk Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
4596	Erythroped a 1g Sachets (Abbott Laboratories Ltd)	Erythromycin Ethyl Succinate	05010500	Macrolides
4610	Erythroped forte 500mg/5ml Oral suspension (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
4672	Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free	Erythromycin ethyl succinate	05010500	Macrolides
4780	Erythromycin 40mg/ml / Zinc acetate 12mg/ml lotion	Erythromycin/Zinc acetate	13060102	Topical Antibacterials For Acne
4891	Erythromycin 4% gel	Erythromycin	13060100	Topical Preparations For Acne
4895	Benzoyl peroxide 5% / Erythromycin 3% gel	Benzoyl peroxide/Erythromycin	00000000	Unknown
4920	Fenofibrate micronised 200mg capsules	Fenofibrate micronised	02120300	Fibrates
4928	Lipantil Micro 200 capsules (Mylan)	Fenofibrate micronised	02120300	Fibrates
5067	Isotrexin gel (Stiefel Laboratories (UK) Ltd)	Isotretinoin/Erythromycin	13060103	Topical Retinoids And Related Preparations For Acne
5131	Daktarin 2% powder (McNeil Products Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
5216	Bezalip mono 400mg Modified-release tablet (Roche Products Ltd)	Bezafibrate	02120300	Fibrates
5321	Miconazole with hydrocortisone 2% with 1% Ointment	Miconazole Nitrate/Hydrocortisone Acetate	13040200/13100200	Mild Topical Corticosteroids/Antifungal Preparations (topical, For Skin Conditions)
5357	Clarithromycin 250mg/5ml oral suspension	Clarithromycin	05010500	Macrolides
5361	Daktarin 24mg/ml Oral gel (McNeil Products Ltd)	Miconazole	12030200	Oropharyngeal Anti-infective Drugs
5390	Fenofibrate micronised 267mg capsules	Fenofibrate micronised	02120300	Fibrates
5397	Eryacne 2 gel (Galderma (UK) Ltd)	Erythromycin	00000000	Unknown
5511	Fluconazole 50mg/5ml oral suspension	Fluconazole	05020100	Triazole Antifungals
5565	Miconazole 2% powder	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
5662	Amoxicillin 500mg / Clarithromycin 500mg / Lansoprazole 30mg triple pack	Amoxicillin Trihydrate/Lansoprazole/Clarithromycin	01030500/05010103	Proton Pump Inhibitors/Broad-spectrum Penicillins
