medcode	readcode	readterm
6774	14D..11	H/O: kidney disease
9959	14D..12	H/O: renal disease
8828	14D1.00	H/O: nephritis
20196	14V2.00	H/O: renal dialysis
44422	14V2.11	H/O: kidney dialysis
12720	1Z1..00	Chronic renal impairment
29013	1Z10.00	Chronic kidney disease stage 1
12586	1Z11.00	Chronic kidney disease stage 2
12566	1Z12.00	Chronic kidney disease stage 3
12479	1Z13.00	Chronic kidney disease stage 4
12585	1Z14.00	Chronic kidney disease stage 5
94965	1Z15.00	Chronic kidney disease stage 3A
95179	1Z16.00	Chronic kidney disease stage 3B
94789	1Z17.00	Chronic kidney disease stage 1 with proteinuria
95572	1Z18.00	Chronic kidney disease stage 1 without proteinuria
95146	1Z19.00	Chronic kidney disease stage 2 with proteinuria
95121	1Z1A.00	Chronic kidney disease stage 2 without proteinuria
94793	1Z1B.00	Chronic kidney disease stage 3 with proteinuria
95123	1Z1C.00	Chronic kidney disease stage 3 without proteinuria
95408	1Z1D.00	Chronic kidney disease stage 3A with proteinuria
95175	1Z1E.00	Chronic kidney disease stage 3A without proteinuria
95178	1Z1F.00	Chronic kidney disease stage 3B with proteinuria
95177	1Z1G.00	Chronic kidney disease stage 3B without proteinuria
95122	1Z1H.00	Chronic kidney disease stage 4 with proteinuria
95406	1Z1J.00	Chronic kidney disease stage 4 without proteinuria
95508	1Z1K.00	Chronic kidney disease stage 5 with proteinuria
95405	1Z1L.00	Chronic kidney disease stage 5 without proteinuria
19473	66i..00	Chronic kidney disease monitoring
30735	6AA..00	Chronic kidney disease annual review
60302	7A60600	Creation of graft fistula for dialysis
96347	7A61900	Ligation of arteriovenous dialysis fistula
2997	7B00.00	Transplantation of kidney
55151	7B00000	Autotransplant of kidney
11745	7B00100	Transplantation of kidney from live donor
66705	7B00111	Allotransplantation of kidney from live donor
24361	7B00200	Transplantation of kidney from cadaver
98364	7B00211	Allotransplantation of kidney from cadaver
89924	7B00300	Allotransplantation of kidney from cadaver, heart-beating
96133	7B00400	Allotransplantation kidney from cadaver, heart non-beating
70874	7B00y00	Other specified transplantation of kidney
5504	7B00z00	Transplantation of kidney NOS
48121	7B01500	Transplant nephrectomy
72004	7B01511	Excision of rejected transplanted kidney
26862	7B06300	Exploration of renal transplant
93366	7B0F.00	Interventions associated with transplantation of kidney
90952	7B0F100	Pre-transplantation of kidney work-up, recipient
31549	7L1A.00	Compensation for renal failure
11773	7L1A.11	Dialysis for renal failure
20073	7L1A000	Renal dialysis
2994	7L1A100	Peritoneal dialysis
2996	7L1A200	Haemodialysis NEC
88597	7L1A400	Automated peritoneal dialysis
30756	7L1A500	Continuous ambulatory peritoneal dialysis
64828	7L1A600	Peritoneal dialysis NEC
48022	7L1Ay00	Other specified compensation for renal failure
64636	7L1Az00	Compensation for renal failure NOS
56760	7L1B.00	Placement ambulatory apparatus compensation renal failure
36442	7L1B.11	Placement ambulatory dialysis apparatus - compens renal fail
8037	7L1B000	Insertion of ambulatory peritoneal dialysis catheter
23773	7L1B100	Removal of ambulatory peritoneal dialysis catheter
59194	7L1By00	Placement ambulatory apparatus- compensate renal failure OS
83513	7L1C.00	Placement other apparatus for compensation for renal failure
30709	7L1C000	Insertion of temporary peritoneal dialysis catheter
65089	7L1Cz00	Placement other apparatus- compensate for renal failure NOS
17253	8L50.00	Renal transplant planned
71271	9Ot..00	Chronic kidney disease monitoring administration
30739	9Ot0.00	Chronic kidney disease monitoring first letter
72962	9Ot1.00	Chronic kidney disease monitoring second letter
72964	9Ot2.00	Chronic kidney disease monitoring third letter
88494	9Ot3.00	Chronic kidney disease monitoring verbal invite
69679	9Ot4.00	Chronic kidney disease monitoring telephone invite
52272	A160000	Tuberculous nephropathy
49235	A160200	Tuberculous pyelonephritis
67197	A786.00	Haemorrhagic nephrosonephritis
49046	A844100	Plasmodium malariae malaria with nephropathy
2475	C104.11	Diabetic nephropathy
35107	C104z00	Diabetes mellitis with nephropathy NOS
57621	C108D00	Insulin dependent diabetes mellitus with nephropathy
66872	C108D11	Type I diabetes mellitus with nephropathy
59365	C109C00	Non-insulin dependent diabetes mellitus with nephropathy
64571	C109C11	Type II diabetes mellitus with nephropathy
24836	C109C12	Type 2 diabetes mellitus with nephropathy
10418	C10ED00	Type 1 diabetes mellitus with nephropathy
12640	C10FC00	Type 2 diabetes mellitus with nephropathy
52969	C341.00	Gouty nephropathy
61145	C341z00	Gouty nephropathy NOS
21687	C345.00	Gout due to impairment of renal function
68112	C373600	Nephropathic amyloidosis
29323	D111300	Haemolytic-uraemic syndrome
16929	D215.00	Anaemia secondary to renal failure
25394	D215000	Anaemia secondary to chronic renal failure
22897	D310100	Henoch-Schonlein nephritis
19454	F374A00	Polyneuropathy in uraemia
4668	G22..00	Hypertensive renal disease
39649	G220.00	Malignant hypertensive renal disease
43935	G221.00	Benign hypertensive renal disease
32423	G222.00	Hypertensive renal disease with renal failure
15106	G22z.00	Hypertensive renal disease NOS
63466	G23..00	Hypertensive heart and renal disease
67232	G230.00	Malignant hypertensive heart and renal disease
63000	G231.00	Benign hypertensive heart and renal disease
21837	G232.00	Hypertensive heart&renal dis wth (congestive) heart failure
28684	G233.00	Hypertensive heart and renal disease with renal failure
68659	G23z.00	Hypertensive heart and renal disease NOS
40956	G500400	Acute pericarditis - uraemic
97533	Gyu2100	[X]Hypertension secondary to other renal disorders
2773	K0...00	Nephritis, nephrosis and nephrotic syndrome
2088	K00..00	Acute glomerulonephritis
5417	K00..11	Acute nephritis
29384	K000.00	Acute proliferative glomerulonephritis
67460	K001.00	Acute nephritis with lesions of necrotising glomerulitis
63599	K00y.00	Other acute glomerulonephritis
20027	K00y000	Acute glomerulonephritis in diseases EC
94261	K00y100	Acute exudative nephritis
48261	K00y200	Acute focal nephritis
55100	K00y300	Acute diffuse nephritis
47838	K00yz00	Other acute glomerulonephritis NOS
20129	K00z.00	Acute glomerulonephritis NOS
2999	K01..00	Nephrotic syndrome
9840	K010.00	Nephrotic syndrome with proliferative glomerulonephritis
1803	K011.00	Nephrotic syndrome with membranous glomerulonephritis
29634	K013.00	Nephrotic syndrome with minimal change glomerulonephritis
57926	K013.12	Steroid sensitive nephrotic syndrome
23913	K014.00	Nephrotic syndrome, minor glomerular abnormality
22852	K015.00	Nephrotic syndrome, focal and segmental glomerular lesions
19316	K016.00	Nephrotic syndrome, diffuse membranous glomerulonephritis
21947	K017.00	Nephrotic syn difus mesangial prolifertiv glomerulonephritis
50472	K018.00	Nephrotic syn,difus endocapilary proliftv glomerulonephritis
21989	K019.00	Nephrotic syn,diffuse mesangiocapillary glomerulonephritis
56987	K01A.00	Nephrotic syndrome, dense deposit disease
17365	K01B.00	Nephrotic syndrome, diffuse crescentic glomerulonephritis
63786	K01w.00	Congenital nephrotic syndrome
47922	K01x000	Nephrotic syndrome in amyloidosis
2471	K01x100	Nephrotic syndrome in diabetes mellitus
58750	K01x300	Nephrotic syndrome in polyarteritis nodosa
47672	K01x400	Nephrotic syndrome in systemic lupus erythematosus
22205	K01x411	Lupus nephritis
94373	K01y.00	Nephrotic syndrome with other pathological kidney lesions
27427	K01z.00	Nephrotic syndrome NOS
7804	K02..00	Chronic glomerulonephritis
10647	K02..11	Nephritis - chronic
11875	K02..12	Nephropathy - chronic
34998	K020.00	Chronic proliferative glomerulonephritis
10809	K021.00	Chronic membranous glomerulonephritis
61494	K022.00	Chronic membranoproliferative glomerulonephritis
65064	K023.00	Chronic rapidly progressive glomerulonephritis
60960	K02y.00	Other chronic glomerulonephritis
97758	K02y000	Chronic glomerulonephritis + diseases EC
4669	K02y200	Chronic focal glomerulonephritis
65400	K02y300	Chronic diffuse glomerulonephritis
63615	K02yz00	Other chronic glomerulonephritis NOS
15097	K02z.00	Chronic glomerulonephritis NOS
33580	K03..00	Nephritis and nephropathy unspecified
4850	K03..11	Nephritis and nephropathy unspecified
11873	K03..12	Nephropathy, unspecified
16008	K030.00	Proliferative nephritis unspecified
5291	K031.00	Membranous nephritis unspecified
12465	K032.00	Membranoproliferative nephritis unspecified
67995	K032000	Focal membranoproliferative glomerulonephritis
62868	K032300	Anaphylactoid glomerulonephritis
24384	K032400	Familial glomerulonephritis in Alport's syndrome
57072	K032500	Other familial glomerulonephritis
21423	K032600	Berger's IgA or IgG nephropathy
67193	K032y00	Nephritis unsp+OS membranoprolif glomerulonephritis lesion
50305	K032y11	Hypocomplementaemic persistent glomerulonephritis NEC
36342	K032y13	Mesangioproliferative glomerulonephritis NEC
41881	K032y14	Mesangiocapillary glomerulonephritis NEC
97388	K032y15	Mixed membranous and proliferative glomerulonephritis NEC
94350	K032z00	Nephritis unsp+membranoprolif glomerulonephritis lesion NOS
58164	K033.00	Rapidly progressive nephritis unspecified
41676	K034.00	Renal cortical necrosis unspecified
45867	K035.00	Renal medullary necrosis unspecified
23990	K03T.00	Tubulo-interstit nephritis, not specif as acute or chron
