prodcode	productname	drugsubstance	bnfcode	bnfchapter
18	Omeprazole 20mg gastro-resistant capsules	Omeprazole	01030500	Proton Pump Inhibitors
30	Lansoprazole 15mg gastro-resistant capsules	Lansoprazole	01030500	Proton Pump Inhibitors
39	Lansoprazole 30mg gastro-resistant capsules	Lansoprazole	01030500	Proton Pump Inhibitors
46	Diazepam 2mg tablets	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
47	Diazepam 5mg tablets	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
89	Omeprazole 10mg gastro-resistant capsules	Omeprazole	01030500	Proton Pump Inhibitors
184	Bezafibrate 200mg tablets	Bezafibrate	02120300	Fibrates
276	Losec 10mg gastro-resistant capsules (AstraZeneca UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
519	Zoton 30mg gastro-resistant capsules (Wyeth Pharmaceuticals)	Lansoprazole	01030500	Proton Pump Inhibitors
602	Bezafibrate 400mg modified-release tablets	Bezafibrate	02120300	Fibrates
642	Fucibet cream (LEO Pharma)	Betamethasone valerate/Fusidic acid	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
672	Hydroxychloroquine 200mg tablets	Hydroxychloroquine sulfate	10010300	Drugs That Suppress The Rheumatic Disease Process
762	Colchicine 500microgram tablets	Colchicine	10010450	Acute Attacks Of Gout
768	Kenalog 40mg/ml Injection (E R Squibb and Sons Ltd)	Triamcinolone Acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
885	Betnesol 0.10% Eye drops (UCB Pharma Ltd)	Betamethasone Sodium Phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
905	Betnovate 0.1% cream (GlaxoSmithKline UK Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
984	Betnovate 0.1% scalp application (GlaxoSmithKline UK Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
985	Betamethasone valerate 0.1% scalp application	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
990	Adcortyl in Orabase 0.1% oromucosal paste (Bristol-Myers Squibb Pharmaceuticals Ltd)	Triamcinolone acetonide	00000000	Unknown
1022	Betnovate 0.1% ointment (GlaxoSmithKline UK Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
1085	Nasacort 55micrograms/dose nasal spray (Sanofi)	Triamcinolone acetonide	12020101	Corticosteroids Used In Nasal Allergy
1203	Tri-Adcortyl ointment (Bristol-Myers Squibb Pharmaceuticals Ltd)	Gramicidin/Nystatin/Neomycin sulfate/Triamcinolone acetonide	00000000	Unknown
1205	Tri-Adcortyl cream (Bristol-Myers Squibb Pharmaceuticals Ltd)	Triamcinolone acetonide/Gramicidin/Neomycin sulfate/Nystatin	00000000	Unknown
1206	Betamethasone valerate 0.1% cream	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
1214	Bezalip 400mg Tablet (Roche Products Ltd)	Bezafibrate	02120300	Fibrates
1215	Fenofibrate 100mg Capsule	Fenofibrate	02120300	Fibrates
1217	Lipantil micro 200 200mg Capsule (Fournier Pharmaceuticals Ltd)	Fenofibrate micronised	02120300	Fibrates
1226	Betnesol -n Eye drops (UCB Pharma Ltd)	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
1232	Losec 20mg gastro-resistant capsules (AstraZeneca UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
1324	Bezalip 200mg Tablet (Roche Products Ltd)	Bezafibrate	02120300	Fibrates
1325	Diprosalic 0.05%/3% ointment (Merck Sharp & Dohme Ltd)	Betamethasone dipropionate/Salicylic acid	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
1400	Diazepam 10mg tablets	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
1433	Betnovate RD 0.025% ointment (GlaxoSmithKline UK Ltd)	Betamethasone valerate	13040000/13040300	Topical Corticosteroids/Moderate Topical Corticosteroids
1451	Omeprazole 40mg gastro-resistant capsules	Omeprazole	01030500	Proton Pump Inhibitors
1472	Betnovate RD 0.025% cream (GlaxoSmithKline UK Ltd)	Betamethasone valerate	13040000/13040300	Topical Corticosteroids/Moderate Topical Corticosteroids
1475	Betnovate-C ointment (Chemidex Pharma Ltd)	Clioquinol/Betamethasone valerate	13040100	Topical Corticosteroids With Antimicrobials
1533	Betnovate-N cream (Chemidex Pharma Ltd)	Betamethasone valerate/Neomycin sulfate	13040100	Topical Corticosteroids With Antimicrobials
1536	Betnovate 0.1% lotion (GlaxoSmithKline UK Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
1553	Betnovate-N ointment (Chemidex Pharma Ltd)	Neomycin sulfate/Betamethasone valerate	13040100	Topical Corticosteroids With Antimicrobials
1583	Betnovate-C cream (Chemidex Pharma Ltd)	Clioquinol/Betamethasone valerate	13040100	Topical Corticosteroids With Antimicrobials
1606	Aureocort Cream (Wyeth Pharmaceuticals)	Chlortetracycline Hydrochloride/Triamcinolone Acetonide	13040400/13100102	Potent Topical Corticosteroids/Antibacterial Preparations Also Used Systemically (for Skin Conditions)
1607	Aureocort Ointment (Wyeth Pharmaceuticals)	Triamcinolone acetonide/Chlortetracycline hydrochloride	13040400/13100102	Potent Topical Corticosteroids/Antibacterial Preparations Also Used Systemically (for Skin Conditions)
1608	Adcortyl with graneodin Cream (E R Squibb and Sons Ltd)	Neomycin Sulphate/Gramicidin/Triamcinolone Acetonide	13040400/13100101	Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically
1717	Diprosalic 0.05%/2% scalp application (Merck Sharp & Dohme Ltd)	Salicylic acid/Betamethasone dipropionate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
1737	Betamethasone valerate 0.1% / Fusidic acid 2% cream	Betamethasone valerate/Fusidic acid	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
1743	Vista-methasone -n Eye drops (Martindale Pharmaceuticals Ltd)	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
1744	Vista-methasone Eye drops (Martindale Pharmaceuticals Ltd)	Betamethasone Sodium Phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
1771	Tri-Adcortyl Otic ointment (Bristol-Myers Squibb Pharmaceuticals Ltd)	Triamcinolone acetonide/Gramicidin/Neomycin sulfate/Nystatin	00000000	Unknown
1799	Triamcinolone 55micrograms/dose nasal spray	Triamcinolone acetonide	12020101	Corticosteroids Used In Nasal Allergy
1869	Diprosone 0.05% ointment (Merck Sharp & Dohme Ltd)	Betamethasone dipropionate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
1914	Betamethasone valerate 0.1% ointment	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
1917	Triamcinolone 0.1% oromucosal paste	Triamcinolone acetonide	12030100	Drugs For Oral Ulceration And Inflammation
1941	Pariet 20mg gastro-resistant tablets (Eisai Ltd)	Rabeprazole sodium	01030500	Proton Pump Inhibitors
1947	Zoton 15mg gastro-resistant capsules (Wyeth Pharmaceuticals)	Lansoprazole	01030500	Proton Pump Inhibitors
1971	Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd)	Betamethasone sodium phosphate	06030200	Glucocorticoid Therapy
1977	Rabeprazole 10mg gastro-resistant tablets	Rabeprazole sodium	01030500	Proton Pump Inhibitors
1989	Betamethasone valerate 0.1% / Neomycin 0.5% cream	Betamethasone valerate/Neomycin sulfate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
2011	Betnesol 0.1% eye ointment (Focus Pharmaceuticals Ltd)	Betamethasone sodium phosphate	11040100	Corticosteroids (in Eye Preparations)
2078	Diazepam 5mg RecTubes (Wockhardt UK Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
2083	Diazepam 10mg RecTubes (Wockhardt UK Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
2151	Rabeprazole 20mg gastro-resistant tablets	Rabeprazole sodium	01030500	Proton Pump Inhibitors
2215	Lopid 300mg capsules (Pfizer Ltd)	Gemfibrozil	02120300	Fibrates
2352	Diazepam 2mg/5ml oral solution	Diazepam	04010201/04080200/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
2401	Valium 2mg Tablet (Roche Products Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
2435	Lipantil 100mg Capsule (Fournier Pharmaceuticals Ltd)	Fenofibrate	02120300	Fibrates
2438	Betnesol-N eye ointment (Focus Pharmaceuticals Ltd)	Neomycin sulfate/Betamethasone sodium phosphate	00000000	Unknown
2573	Betacap 0.1% scalp application (Dermal Laboratories Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
2742	Bettamousse 0.1% cutaneous foam (RPH Pharmaceuticals AB)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
2852	Nystadermal Cream (E R Squibb and Sons Ltd)	Nystatin/Triamcinolone Acetonide	13040400/13100200	Potent Topical Corticosteroids/Antifungal Preparations (topical, For Skin Conditions)
2981	Betamethasone sodium phosphate 0.1% eye drops	Betamethasone Sodium Phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
3065	Bextasol Inhalation powder (Allen & Hanburys Ltd)	Betamethasone Valerate	03020000	Corticosteroids (for Respiratory Conditions)
3088	Betamethasone valerate 0.1% lotion	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
3089	Ciprofibrate 100mg tablets	Ciprofibrate	02120300	Fibrates
3148	Betnovate rectal ointment (GlaxoSmithKline UK Ltd)	Betamethasone valerate/Phenylephrine hydrochloride/Lidocaine hydrochloride	00000000	Unknown
3159	Fenofibrate 200mg capsules	Fenofibrate	02120300	Fibrates
3192	Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment	Betamethasone dipropionate/Salicylic acid	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
3205	Diazepam 5mg	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
3318	Gemfibrozil 300mg capsules	Gemfibrozil	02120300	Fibrates
3366	Betamethasone valerate 0.025% cream	Betamethasone valerate	13040000/13040300	Topical Corticosteroids/Moderate Topical Corticosteroids
3510	Adcortyl 0.10% Ointment (E R Squibb and Sons Ltd)	Triamcinolone Acetonide	13040400	Potent Topical Corticosteroids
3575	Lotriderm Cream (Dominion Pharma)	Clotrimazole/Betamethasone dipropionate	13040400/13100200	Potent Topical Corticosteroids/Antifungal Preparations (topical, For Skin Conditions)
3703	Kenalog 80mg/2ml Intramuscular injection (E R Squibb and Sons Ltd)	Triamcinolone Acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
3727	Diprosone 0.05% cream (Merck Sharp & Dohme Ltd)	Betamethasone dipropionate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
3761	Diprosone 0.05% lotion (Merck Sharp & Dohme Ltd)	Betamethasone dipropionate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
3862	Adcortyl 0.10% Cream (E R Squibb and Sons Ltd)	Triamcinolone Acetonide	13040400	Potent Topical Corticosteroids
3870	Diazepam 2mg capsules	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
3973	Tensium 10mg tablets (DDSA Pharmaceuticals Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
4062	Lopid 600mg tablets (Pfizer Ltd)	Gemfibrozil	02120300	Fibrates
4106	Betamethasone valerate 0.1% / Clioquinol 3% cream	Clioquinol/Betamethasone valerate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
4123	Kenalog 40mg/ml Intraarticular injection (E R Squibb and Sons Ltd)	Triamcinolone Acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
4125	Triamcinolone acetonide 80mg/2ml intramuscular injection	Triamcinolone Acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
4158	Pevaryl TC Cream (Lorex Synthelabo Ltd)	Econazole Nitrate/Triamcinolone Acetonide	13040400/13100200	Potent Topical Corticosteroids/Antifungal Preparations (topical, For Skin Conditions)
4164	Betamethasone sodium phosphate 0.1% with neomycin 0.5% eye drops	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
4176	Diazepam 10mg/2.5ml rectal solution tube	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
4338	Valium 5mg Tablet (Roche Products Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
4395	Stesolid 5mg rectal tube (Actavis UK Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
